period,lambda_ols,se_lambda,pvalue,beta_ols,speed_ols,halflife_ols,n
1960-2000,.0043659723257838,.001584291312294,.0072128515353084,-.0040240193820598,-.40240193820598,,84
1960-2019,.0005688936843243,.0012907612073726,.6605590092857581,-.0005595547029211,-.05595547029211,,84
1980-2019,.0011291480319779,.0013795482909155,.4154490743838679,-.0011049926219722,-.11049926219722,,84
1990-2019,-.0000811636441561,.0013952871231253,.9537548568828798,.000081259313595,.0081259313595,8530.064430701708,84
1995-2019,-.0017786132663725,.0013957212173211,.2061451420980332,.0018176909624173,.18176909624173,381.3338982761662,84
2000-2019,-.0035227916988008,.0014685696716084,.0187180918650562,.0036462270874659,.36462270874659,190.0998385269737,84
