"Time","Level","Estimate","Std.Error","lower_bound","upper_bound"
-31,"Average",0.0848018833188551,0.263154718220227,-0.4393986973371,0.604127972894859
-30,"Average",-0.0151513727650014,0.148938675582646,-0.287036588229912,0.289302001986665
-29,"Average",0.0740392290203324,0.109247687964697,-0.108995811121279,0.299126049762775
-28,"Average",0.00797256101285685,0.163274852475072,-0.284978739159017,0.367748564307997
-27,"Average",-0.189645990396299,0.316862294374685,-0.787024552470276,0.459723472226916
-26,"Average",-0.0421429514573622,0.147551353525406,-0.320749873417081,0.260079242625528
-25,"Average",0.111529337606906,0.150411844320197,-0.159931244440686,0.410780582633806
-24,"Average",-0.0322831012866182,0.160207657998068,-0.35641286107623,0.258780636384298
-23,"Average",-0.0364757154043289,0.27720309957284,-0.517632148025249,0.52279916418321
-22,"Average",0.0354926461054784,0.363630040902587,-0.545636396508006,0.770997211135619
-21,"Average",-0.149778578406755,0.386915327486678,-0.769359609904825,0.650246401778988
-20,"Average",-0.00341826610083551,0.35178861416515,-0.59122878041088,0.69244545270928
-19,"Average",-0.0144256226498147,0.115650673024726,-0.196845667251887,0.224171399437079
-18,"Average",-0.0705852442122724,0.137757481206617,-0.366604765657991,0.17484153887881
-17,"Average",0.0333788726019602,0.240614946265205,-0.459094209214784,0.399682573554644
-16,"Average",0.0229369713851831,0.31875408476417,-0.609552494040892,0.598430274957697
-15,"Average",-0.010641512187253,0.242364745908709,-0.491673408005095,0.455626167913183
-14,"Average",0.0609771132995537,0.16075679861775,-0.236689691166803,0.365031018540487
-13,"Average",-0.00376502596951767,0.118430476136003,-0.200563513652129,0.234006634455598
-12,"Average",-0.0586507588983487,0.113512781427209,-0.302530188299658,0.144023491293248
-11,"Average",0.0394029548232965,0.209572770709928,-0.380359846373139,0.442886185022594
-10,"Average",-0.0162673287886264,0.164918137252857,-0.361868682539953,0.27383121932142
-9,"Average",0.00921072885746916,0.118251163595052,-0.246336676699605,0.214499216983941
-8,"Average",0.0349447566203978,0.114578577636633,-0.15318572928072,0.275730167135635
-7,"Average",0.00424684645594766,0.111182767215943,-0.198733073566468,0.229695644112002
-6,"Average",0.0377135685267394,0.12051446418897,-0.197010374914303,0.270114257071035
-5,"Average",0.0269368187575456,0.259952615909293,-0.508064198929071,0.460031063763771
-4,"Average",0.0472947186682251,0.409135123249451,-0.780355330323813,0.65667804820692
-3,"Average",0.0106965255051456,0.404498897983687,-0.80159338603646,0.614643325849603
-2,"Average",0.0890169927523104,0.339141239475561,-0.624250205197766,0.618686236558251
-1,"Average",-0.090673765386984,0.188146039663462,-0.473964489566058,0.259851128069339
0,"Average",1.95096638669042,1.92817886648737,-1.4873442265239,5.94604860350191
1,"Average",2.26416081246563,2.22932491502076,-1.81759185015911,6.83508067889415
2,"Average",2.66861395604502,2.59373743605563,-2.05912061493456,7.95937132527016
3,"Average",3.15083366696726,3.00187856916064,-2.4055184236519,9.38901727762909
4,"Average",3.42202798155982,3.24074787964147,-2.56785648480857,10.3191416999593
5,"Average",3.81819254318156,3.61093195838566,-2.81922987375634,11.3361528170005
6,"Average",4.13967296171267,3.92392721040115,-2.9784095251725,12.3158179824615
7,"Average",4.35987139458538,4.18610308938574,-3.25506657642329,13.1077180851601
NA,"Average",3.22179246290097,3.08075963567045,-2.46802272913131,9.77903302164606
-31,"C01",NA,NA,NA,NA
-30,"C01",NA,NA,NA,NA
-29,"C01",NA,NA,NA,NA
-28,"C01",NA,NA,NA,NA
-27,"C01",NA,NA,NA,NA
-26,"C01",NA,NA,NA,NA
-25,"C01",0.008025688954298,0.153819020518701,-0.259383340835836,0.309548368797375
-24,"C01",-0.108080262642238,0.271831128499923,-0.653619992412502,0.393254603491366
-23,"C01",0.15968217349214,0.218802505291053,-0.268529725595809,0.596278555556325
-22,"C01",0.0693693847147774,0.150280078315979,-0.180047694764336,0.376882607064864
-21,"C01",0.339139078835949,0.318365384117502,-0.248315510775279,0.982906739896568
-20,"C01",0.230767693192186,0.241429458148336,-0.242714935606185,0.708975681351855
-19,"C01",0.0258155767733808,0.0929108206599014,-0.151299996345544,0.199402434796242
-18,"C01",0.0722438872304689,0.0751286141896433,-0.0730415725390574,0.224527254940034
-17,"C01",-0.186155403327751,0.176895628079506,-0.535742155836694,0.146609049143604
-16,"C01",0.0502078896472238,0.350776130534659,-0.583316104609751,0.719115023336923
-15,"C01",-0.07900074916855,0.257720095346908,-0.534341072310255,0.422459744969113
-14,"C01",-0.183279596470168,0.364167972846642,-0.903020058153383,0.488838421852603
-13,"C01",-0.0621432931848069,0.112381852841474,-0.270475778957567,0.184167875017767
-12,"C01",0.0244530971543231,0.156389617788924,-0.29305585813523,0.329644659880162
-11,"C01",0.0596831465604524,0.24019654142275,-0.43734736121229,0.46828968917386
-10,"C01",0.0596490834235635,0.291698411216033,-0.524022071880446,0.59874910113153
-9,"C01",-0.0956863304638524,0.233342971636681,-0.554750615966772,0.320677933572364
-8,"C01",0.301988551035436,0.344469173818659,-0.348823169751642,0.994968221385175
-7,"C01",-0.0938042965347741,0.197682274006619,-0.478118320366271,0.293000363962551
-6,"C01",-0.1365929926266,0.185094837099686,-0.502730315071754,0.200790963126979
-5,"C01",0.0331269111933761,0.322638981785054,-0.594685678597941,0.543332522494383
-4,"C01",-0.127158543217545,0.261715066685051,-0.656533830715309,0.355214588234652
-3,"C01",-0.231118653663943,0.218816168226871,-0.666591371008494,0.178105918226529
-2,"C01",-0.0462198248766601,0.143663957799842,-0.342392701473634,0.179682290026837
-1,"C01",-0.0849122160306823,0.223358165718493,-0.520418128922328,0.329340220503468
0,"C01",2.76013205191375,3.49379172006718,-4.21987604746673,9.40433861789232
1,"C01",3.74427484152199,4.65062556410148,-5.55810196498018,12.5802907303434
2,"C01",3.85439863546979,4.90936047077702,-6.17767668851994,13.1418520828344
3,"C01",4.76702398416906,5.90869278696878,-7.15949043119233,15.9537662235571
4,"C01",4.90294239964823,6.26594004406308,-7.66880917119947,16.7729706048908
5,"C01",5.64092458149747,7.22033481709456,-8.62230277385841,19.4455128289871
6,"C01",5.97128348195641,7.68213970084694,-9.03120159276791,20.7116246346905
