"country","paper_2000_07","ascm_2000_07","paper_2008_17","ascm_2008_17"
"Austria",17.13,6.151,5.05,-1.792
"Belgium",33.22,29.314,9.72,6.992
"Finland",3.32,16.88,-4.66,-2.833
"France",43.61,42.681,14.68,13.871
"Germany",34.34,7.952,35.56,19.273
"Greece",9.13,8.016,-7.14,-12.44
"Ireland",47.73,31.321,20.41,26.636
"Italy",25.5,18.344,1.1,-6.775
"Luxembourg",-5.07,3.756,-3.5,-1.535
"Netherlands",38.18,44.01,16.46,13.737
"Portugal",6.8,6.538,-11.3,-14.3
"Spain",26.88,31.97,0.47,5.714
