"Time","Level","Estimate","Std.Error","lower_bound","upper_bound"
-16,"Average",-0.210700633834846,0.262537961331703,-0.721284949194099,0.338830325598559
-15,"Average",0.339799331795779,0.410763559226132,-0.488025255799122,1.09489053315127
-14,"Average",-0.121014733976188,0.307533198476817,-0.647042807184273,0.501890456854015
-13,"Average",-0.0678761218063493,0.140862076043131,-0.329453487969693,0.207145802602034
-12,"Average",0.0608260583650508,0.221802741392928,-0.404827808985882,0.44589030381524
-11,"Average",-0.0597836072072801,0.124194750799978,-0.319211703849966,0.173427532023901
-10,"Average",-0.0104368569287885,0.158306993162855,-0.311819962898068,0.302992699076786
-9,"Average",-0.0255518361864421,0.144323214884201,-0.316779554422735,0.251416754394165
-8,"Average",-0.0487057219632529,0.154383327892349,-0.322850464298201,0.287396032115802
-7,"Average",-0.0199098035783312,0.299782201086263,-0.46030950836501,0.600089368314572
-6,"Average",0.0342412719539103,0.421674686530897,-0.587398921044408,0.885159882206335
-5,"Average",-0.0519460434059191,0.282792022822004,-0.566705403910906,0.541792330176095
-4,"Average",-0.0189175782145673,0.167224598800929,-0.349478193981482,0.318027457813989
-3,"Average",-0.099855532446651,0.228540139362321,-0.573950649256838,0.317331340168933
-2,"Average",0.200977114137766,0.42366237518983,-0.70240337974541,0.917404562353422
-1,"Average",0.0769716034275227,0.345111811727668,-0.630637459904576,0.645931228867764
0,"Average",0.173070098125547,0.249711198060379,-0.331164540317835,0.646756519796744
1,"Average",0.251312151733538,0.280858707422448,-0.222141723945646,0.847736150825438
2,"Average",0.210976472028516,0.402907383263769,-0.436937504835749,1.06239780784638
3,"Average",0.406266401234609,0.57399555456146,-0.565532741422729,1.63293706211585
4,"Average",0.64542709963229,0.775684537265892,-0.76634384092057,2.28598937870005
5,"Average",1.16768905329983,1.09659081177743,-0.759169337981422,3.48051587227779
6,"Average",1.2935529941772,1.25224661991167,-0.924623034253477,3.90999721133724
7,"Average",1.5942509670741,1.51386293568057,-1.04932827685872,4.79236306556341
NA,"Average",0.717818154663205,0.727888402009504,-0.536826233889924,2.26376890893432
-16,"C01",NA,NA,NA,NA
-15,"C01",NA,NA,NA,NA
-14,"C01",NA,NA,NA,NA
