learner,estimate,se_iid,se_cluster,ci_lo,ci_hi
LassoCV,-0.09567813439961408,0.08412730898860346,0.07849793900269283,-0.2670078435606536,0.06920845273187998
RandomForest,-0.08545406376564987,0.18056690213595838,0.14316758469166496,-0.4393586887520968,0.26845056122079713
XGBoost,-0.11230600775495472,0.20889964748122916,0.1421369475906238,-0.5909320875499278,0.29712977769136784
