"index","viol","prop","murd"
208,"Dpov0^2*t^2","Dpov0^2*t^2","Dpov0^2*t^2"
209,"Dafdc0^2*t^2","Dafdc0^2*t^2","Dafdc0^2*t^2"
210,"Dbeer0^2*t^2","Dbeer0^2*t^2","Dbeer0^2*t^2"
211,"Lprison0*t^2","Lprison0*t^2","Lprison0*t^2"
212,"Lpolice0*t^2","Lpolice0*t^2","Lpolice0*t^2"
213,"Lur0*t^2","Lur0*t^2","Lur0*t^2"
214,"Linc0*t^2","Linc0*t^2","Linc0*t^2"
215,"Lpov0*t^2","Lpov0*t^2","Lpov0*t^2"
216,"Lafdc0*t^2","Lafdc0*t^2","Lafdc0*t^2"
217,"Lbeer0*t^2","Lbeer0*t^2","Lbeer0*t^2"
218,"Lprison0^2*t^2","Lprison0^2*t^2","Lprison0^2*t^2"
219,"Lpolice0^2*t^2","Lpolice0^2*t^2","Lpolice0^2*t^2"
220,"Lur0^2*t^2","Lur0^2*t^2","Lur0^2*t^2"
221,"Linc0^2*t^2","Linc0^2*t^2","Linc0^2*t^2"
222,"Lpov0^2*t^2","Lpov0^2*t^2","Lpov0^2*t^2"
223,"Lafdc0^2*t^2","Lafdc0^2*t^2","Lafdc0^2*t^2"
224,"Lbeer0^2*t^2","Lbeer0^2*t^2","Lbeer0^2*t^2"
225,"prisonBar","prisonBar","prisonBar"
226,"policeBar","policeBar","policeBar"
227,"urBar","urBar","urBar"
228,"incBar","incBar","incBar"
229,"povBar","povBar","povBar"
230,"afdcBar","afdcBar","afdcBar"
231,"gunBar","gunBar","gunBar"
232,"beerBar","beerBar","beerBar"
233,"prisonBar^2","prisonBar^2","prisonBar^2"
234,"policeBar^2","policeBar^2","policeBar^2"
235,"urBar^2","urBar^2","urBar^2"
236,"incBar^2","incBar^2","incBar^2"
237,"povBar^2","povBar^2","povBar^2"
238,"afdcBar^2","afdcBar^2","afdcBar^2"
239,"gunBar^2","gunBar^2","gunBar^2"
240,"beerBar^2","beerBar^2","beerBar^2"
241,"prisonBar*t","prisonBar*t","prisonBar*t"
242,"policeBar*t","policeBar*t","policeBar*t"
243,"urBar*t","urBar*t","urBar*t"
244,"incBar*t","incBar*t","incBar*t"
245,"povBar*t","povBar*t","povBar*t"
246,"afdcBar*t","afdcBar*t","afdcBar*t"
247,"gunBar*t","gunBar*t","gunBar*t"
248,"beerBar*t","beerBar*t","beerBar*t"
249,"prisonBar*t^2","prisonBar*t^2","prisonBar*t^2"
250,"policeBar*t^2","policeBar*t^2","policeBar*t^2"
251,"urBar*t^2","urBar*t^2","urBar*t^2"
252,"incBar*t^2","incBar*t^2","incBar*t^2"
253,"povBar*t^2","povBar*t^2","povBar*t^2"
254,"afdcBar*t^2","afdcBar*t^2","afdcBar*t^2"
255,"gunBar*t^2","gunBar*t^2","gunBar*t^2"
256,"beerBar*t^2","beerBar*t^2","beerBar*t^2"
257,"prisonBar^2*t","prisonBar^2*t","prisonBar^2*t"
258,"policeBar^2*t","policeBar^2*t","policeBar^2*t"
259,"urBar^2*t","urBar^2*t","urBar^2*t"
260,"incBar^2*t","incBar^2*t","incBar^2*t"
261,"povBar^2*t","povBar^2*t","povBar^2*t"
262,"afdcBar^2*t","afdcBar^2*t","afdcBar^2*t"
263,"gunBar^2*t","gunBar^2*t","gunBar^2*t"
264,"beerBar^2*t","beerBar^2*t","beerBar^2*t"
265,"prisonBar^2*t^2","prisonBar^2*t^2","prisonBar^2*t^2"
266,"policeBar^2*t^2","policeBar^2*t^2","policeBar^2*t^2"
267,"urBar^2*t^2","urBar^2*t^2","urBar^2*t^2"
268,"incBar^2*t^2","incBar^2*t^2","incBar^2*t^2"
269,"povBar^2*t^2","povBar^2*t^2","povBar^2*t^2"
270,"afdcBar^2*t^2","afdcBar^2*t^2","afdcBar^2*t^2"
271,"gunBar^2*t^2","gunBar^2*t^2","gunBar^2*t^2"
272,"beerBar^2*t^2","beerBar^2*t^2","beerBar^2*t^2"
273,"DxV0","DxP0","DxM0"
274,"DxV0^2","DxP0^2","DxM0^2"
275,"DxV0*t","DxP0*t","DxM0*t"
276,"DxV0^2*t","DxP0^2*t","DxM0^2*t"
277,"DxV0*t^2","DxP0*t^2","DxM0*t^2"
278,"DxV0^2*t^2","DxP0^2*t^2","DxM0^2*t^2"
279,"xV0","xP0","xM0"
280,"xV0^2","xP0^2","xM0^2"
281,"xV0*t","xP0*t","xM0*t"
282,"xV0^2*t","xP0^2*t","xM0^2*t"
283,"xV0*t^2","xP0*t^2","xM0*t^2"
284,"xV0^2*t^2","xP0^2*t^2","xM0^2*t^2"
