"state","DxV","DyV","DxP","DyP","DxM","DyM"
1,-0.00980585208333334,0.143205047916667,-0.0266451916666667,0.0345585208333333,-0.0025013875,-0.0381477291666666
1,-0.01692693125,0.0263502625,-0.03951331875,0.0232164375000001,-0.00596467291666667,-0.0449557916666668
1,-0.0254435333333333,-0.0309682375,-0.0540427166666667,0.03622675,-0.01057993125,0.0571663749999999
1,-0.0349310666666666,0.0159304458333333,-0.0659024875,-0.00413939583333348,-0.0177338375,0.0447378333333335
1,-0.04444993125,0.06835411875,-0.0723598854166666,0.00655295833333335,-0.02817375625,0.0484462083333331
1,-0.0508158,0.137807716666667,-0.0672649979166667,0.0617253541666669,-0.0394487895833333,-0.0283026458333331
1,-0.0513305708333334,0.0181132729166669,-0.0532817645833333,0.0126468124999997,-0.04910651875,-0.00610343749999987
1,-0.0460113291666667,-0.11357360625,-0.0311622083333334,-0.03938675,-0.053684575,-0.028226104166667
1,-0.0356830541666666,-0.112449116666667,-0.00389688541666655,0.0315752291666668,-0.0509616854166667,0.142820166666667
1,-0.0297272187500001,-0.0612773708333334,0.00749807708333328,-0.0124773958333335,-0.045817525,-0.0666493333333334
1,-0.0172484145833333,-0.0504189520833334,0.0249837145833333,0.0388906875000002,-0.0341949395833333,-0.0183966041666668
1,-0.0119602083333333,0.0211789229166668,0.0245781416666668,0.0409162499999998,-0.02394024375,0.0493158333333336
2,-0.00799725208333333,0.0318540479166668,-0.0207947916666667,-0.0122964791666661,-0.0022884875,0.0856302708333335
2,-0.01494463125,-0.0670627374999999,-0.03225321875,-0.0517085625000002,-0.00575917291666667,-0.197380791666667
2,-0.0173093333333333,-0.0470512375,-0.0344597166666667,0.0373317500000003,-0.00830963125,0.110385375
2,-0.0246190666666666,-0.0526625541666668,-0.0419369874999999,0.0761306041666666,-0.0148464375,-0.224970166666667
2,-0.02954613125,0.00905411875000006,-0.0449794854166667,-0.0270520416666672,-0.02130925625,0.114457208333334
2,-0.0339623000000001,-0.00629528333333326,-0.0465551979166667,-0.0789716458333325,-0.0266348895833333,-0.0159036458333337
2,-0.0263651708333333,-0.0146117270833334,-0.0203753645833332,-0.0177741875000004,-0.02972411875,0.0828505625000003
2,-0.0319977291666667,0.06028039375,-0.0230541083333333,0.0852702499999996,-0.034477775,-0.0220221041666667
2,-0.0217769541666667,0.0031918833333334,-0.00242608541666656,0.0749232291666671,-0.0296351854166667,0.309645166666667
2,-0.0197224187500001,0.0127856291666666,0.00080537708333317,0.00768360416666637,-0.028256825,-0.0283353333333333
2,-0.0185881145833333,-0.0388789520833333,-0.00200628541666659,-0.1017373125,-0.0227111395833333,-0.125390604166667
2,-0.0127537083333333,0.0073459229166666,0.0112141416666666,0.0422502500000002,-0.01843414375,0.0647208333333331
3,-0.0115980520833333,0.0723810479166665,-0.0339360916666667,0.0530715208333333,-0.0026630875,-0.0466587291666666
3,-0.02477393125,0.0676412625,-0.06109801875,0.0639964375000004,-0.00791547291666667,-0.0182127916666667
3,-0.0332058333333333,0.000952762500000127,-0.0767883166666667,0.0038477499999998,-0.01220103125,0.135734375
3,-0.0494391666666666,0.0695654458333332,-0.0999347875,0.0555896041666669,-0.0232234375,-0.0250691666666669
3,-0.05962433125,-5.08812499998568e-05,-0.102651585416667,0.022308958333333,-0.03698885625,0.117462208333334
3,-0.0779291,0.0714167166666665,-0.121663997916667,0.0451273541666668,-0.0535898895833333,0.0616333541666667
3,-0.0778713708333334,-0.0406287270833334,-0.107256464583333,-0.0479291875000001,-0.06516661875,0.00709356250000003
3,-0.0857588291666667,0.02306239375,-0.104334708333333,0.0359402500000002,-0.076874675,-0.138134104166667
3,-0.0875846541666667,0.0229868833333334,-0.0927078854166666,-0.000807770833333517,-0.0821270854166667,0.278211166666667
3,-0.08790351875,-0.0524623708333333,-0.0801960229166667,-0.0235743958333334,-0.088102025,-0.140794333333333
3,-0.0834823145833333,0.0102470479166665,-0.0684853854166666,0.0409076875000001,-0.0854918395833333,-0.122116604166667
3,-0.0835309083333334,0.0215199229166667,-0.0662177583333334,0.0223842500000003,-0.08635704375,0.222517833333333
4,0.0741777479166667,0.124694047916667,0.169656708333333,-0.0229064791666668,0.0253689125,0.00198227083333337
4,0.10084726875,0.0201352625000002,0.20020808125,-0.0649395624999996,0.0482309270833333,-0.0285147916666669
4,0.128610666666667,-0.0318082375000004,0.213859583333333,0.0140677500000001,0.07998666875,-0.0320266249999999
4,0.141695733333333,0.0188034458333337,0.1996813125,0.0101756041666668,0.1118256625,0.0616088333333335
4,0.14628536875,-0.0216828812500002,0.175401214583333,-0.0497780416666668,0.13510904375,0.0448482083333333
4,0.142851,0.00595771666666681,0.145261602083333,0.0130223541666663,0.143124710416667,0.0426853541666667
4,0.147216429166667,0.0132422729166664,0.135795135416667,0.0190438124999999,0.15056288125,0.0358855624999997
4,0.142352970833333,-0.04076260625,0.112840691666667,-0.00178174999999984,0.144612025,-0.0447531041666665
4,0.137768145833333,-0.0420731166666667,0.0932831145833334,-0.0389557708333331,0.145656314583333,0.0080211666666667
4,0.13596728125,-0.0254293708333333,0.0890203770833335,-0.0653123958333335,0.140935275,-0.0525963333333333
4,0.114164985416667,-0.0498439520833332,0.0619987145833331,-0.0815403124999998,0.126237560416667,-0.144884604166667
4,0.105144491666667,-0.0618740770833332,0.0622571416666668,-0.04878175,0.11421245625,-0.0406791666666664
5,-0.00160405208333333,0.0496990479166666,0.00235110833333334,-0.0250564791666671,-0.0016171875,0.121967270833333
