Country_ISO,year,GINIW,GINIW_pred_GDP_pc
ALB,2001,0.051328945023693,0.0513667538762092
ALB,2009,0.05304969875764459,0.0530902706086635
ARE,2001,0.039574725102488766,0.0445532537996768
ARE,2005,0.04845037504300827,0.0486326739192009
ARE,2009,0.052546485463654626,0.0524686463177204
ARG,1995,0.07873977002037456,0.0787823945283889
ARG,2000,0.074321726487394,0.07454714179039
ARG,2005,0.07541870143798077,0.0746249258518219
AUS,1995,0.05732549001199253,0.0574856922030448
AUS,2000,0.05545705416795822,0.0557056963443756
AUS,2005,0.05882784056838541,0.058939553797245
AUS,2010,0.05629059509473153,0.0565676912665367
AUT,1995,0.05765862356141927,0.0539895258843898
AUT,2000,0.05782491173201735,0.0523310080170631
AUT,2005,0.057368259264976476,0.0525078661739826
AUT,2010,0.04516746632074595,0.0409474708139896
BEL,1995,0.0315442619921664,0.0261972416192293
BEL,2000,0.03126856136053902,0.0259032640606164
BEL,2005,0.030871445540084225,0.0267724283039569
BEL,2010,0.021356870052793752,0.0172258913516998
BEN,1992,0.10434196780193196,0.1415063887834549
BEN,1998,0.09857465211527021,0.1342544853687286
BEN,2004,0.10463443290132055,0.1405045539140701
BGD,1995,0.045122972835861044,0.0175141245126724
BGD,1999,0.050846332883619984,0.0203377082943916
BGD,2005,0.04990792963931433,0.0226338598877191
BGR,1995,0.04138289231560989,0.0384537801146507
BGR,2000,0.0425290523131016,0.0396681912243366
BGR,2005,0.04561853347788035,0.0427614487707614
BGR,2010,0.04345184731825858,0.040807407349348
BIH,2010,0.031144627053553312,0.0085456445813179
BOL,1995,0.050253804713170154,0.0473384000360965
BOL,2000,0.04891842440811738,0.046108778566122
BOL,2005,0.05128020302762205,0.049135286360979
BOL,2010,0.04220044096005792,0.0423477925360202
BRA,1995,0.07408266451638115,0.0755849257111549
BRA,2000,0.07282092603222268,0.0744486525654792
BRA,2005,0.07213536086893829,0.0742503404617309
BRA,2010,0.06920138907977678,0.0713077113032341
CAN,1995,0.030184169875154796,0.0304477028548717
CAN,2000,0.03020719612607557,0.030389504507184
CAN,2005,0.02864385274289703,0.0292208399623632
CAN,2010,0.03207442746466833,0.0320147909224033
CHE,1995,0.05687877320171773,0.0495551414787769
CHE,2000,0.05369459069761413,0.0448463857173919
CHE,2005,0.05987256875788291,0.0478302240371704
CHE,2010,0.05311864983984533,0.0423595681786537
CHL,1995,0.07488128455379045,0.069977231323719
CHL,2000,0.07572746987331433,0.0712870508432388
CHL,2010,0.06574127839291728,0.0640190914273262
CHN,1995,0.07756207937433426,0.0735213384032249
CHN,2000,0.07127794103026631,0.0674166083335876
CHN,2005,0.0689569410700318,0.0656067952513694
CHN,2010,0.06146986404014047,0.0600216798484325
COL,1995,0.07832336513294523,0.0609508715569973
COL,2000,0.07605468340676728,0.05875214189291
COL,2005,0.08144054595760712,0.0612781681120395
COL,2010,0.07252285640947312,0.057088453322649
CZE,1995,0.03865213286419523,0.032014399766922
CZE,2000,0.03823683221118414,0.0314117036759853
CZE,2005,0.038251514580133775,0.031194232404232
CZE,2010,0.03136798083312427,0.0254278387874364
DEU,1995,0.04063923509323576,0.0354486219584941
DEU,2000,0.03853200442432631,0.0341094508767128
DEU,2005,0.03897750098293813,0.0329805314540863
DEU,2010,0.027798183274837386,0.0246224664151668
DNK,1995,0.03908359112722281,0.0480852238833904
DNK,2000,0.03743767613467496,0.0499937459826469
DNK,2005,0.04026987394955954,0.0520303472876548
DNK,2010,0.0379115575288129,0.0405752062797546
ECU,1996,0.04481523462897974,0.0411506257951259
ECU,1999,0.04343625227657703,0.0397018454968929
ECU,2005,0.039275506577654974,0.0355374887585639
EGY,1992,0.05851702337843145,0.0605624094605445
EGY,1998,0.05627096715474211,0.0597574189305305
EGY,2007,0.0576049575569999,0.0598513297736644
ESP,1995,0.051490563965147666,0.0446237549185752
ESP,2000,0.051494491857645916,0.0448265150189399
ESP,2005,0.05538932366447048,0.0457000322639942
ESP,2010,0.049325169797425614,0.0413787961006164
EST,1996,0.03976510449568264,0.0398458987474441
EST,2000,0.04943646786410103,0.045061245560646
EST,2005,0.05023957747650423,0.0462287254631519
EST,2010,0.04112805943738654,0.0378457568585872
FIN,1995,0.03579334695168122,0.0336759388446807
FIN,2000,0.03388965715033673,0.0321008153259754
FIN,2005,0.03506640794301965,0.0320696532726287
FIN,2010,0.03712550043784001,0.0339160896837711
FRA,1995,0.039740580049028626,0.039898470044136
FRA,2000,0.03830284253308011,0.0382699258625507
FRA,2005,0.04244120300411815,0.041111022233963
FRA,2010,0.04057237703455289,0.0382987409830093
GBR,1995,0.034632852104210674,0.0171899888664484
GBR,2000,0.0443214763593351,0.0157733988016843
GBR,2005,0.0451953309968629,0.0166872516274452
GBR,2010,0.04006467716942101,0.0137528833001852
GRC,1995,0.02810572728888795,0.0537975281476974
GRC,2000,0.024410976929712058,0.0512355044484138
GRC,2005,0.027545430757690226,0.0535641945898532
GRC,2010,0.021700335779081256,0.046934250742197
GTM,1995,0.09592024445149577,0.092757262289524
GTM,2005,0.0860903401513019,0.0823454707860946
GTM,2008,0.0879449127009139,0.0792792662978172
HND,1995,0.08049127316491804,0.0796238258481025
HND,2000,0.07295140340668103,0.0725792124867439
HND,2003,0.06747745398142303,0.0695332884788513
HRV,2000,0.03181564913644067,0.033931165933609
HRV,2005,0.03212675002697581,0.0348086506128311
HRV,2010,0.046808243709329275,0.0404780805110931
HUN,2000,0.06988960023048466,0.060809314250946
HUN,2005,0.06809576487460708,0.0596439391374588
HUN,2010,0.06892887972886069,0.0595745556056499
IDN,1996,0.08857976044860928,0.0871053859591484
IDN,2005,0.08818561783261616,0.0853019803762435
IDN,2010,0.08296093758322233,0.0805526077747345
IND,1993,0.044651597130614146,0.0456773079931736
IND,2000,0.04511585964198521,0.0442817509174346
IND,2005,0.0474222692203019,0.047148160636425
IND,2010,0.04307440448502244,0.0426748283207416
IRL,1995,0.040460782110890464,0.0733201950788497
IRL,2000,0.036280096529108574,0.0661981254816055
IRL,2005,0.03873450051900033,0.0675665885210037
IRL,2010,0.03375253391528611,0.0577382110059261
