bin,x,tau,se,ci_lower,ci_upper
1,0.0013332336342760495,1.460586120908253,0.004786387436744944,1.4512048015322327,1.469967440284273
1,0.02477262987356101,1.460586120908253,0.004786387436744944,1.4512048015322327,1.469967440284273
1,0.026006282307207584,NA,0.004786387436744944,NA,NA
2,0.027281081902661493,1.3807513897253045,0.004100184547046233,1.372715028013094,1.388787751437515
2,0.051502274216285775,1.3807513897253045,0.004100184547046233,1.372715028013094,1.388787751437515
2,0.05277707381173968,NA,0.004100184547046233,NA,NA
3,0.0541091557492369,1.284631910334038,0.004099023783754229,1.2765978237178794,1.2926659969501961
3,0.079418712561684,1.284631910334038,0.004099023783754229,1.2765978237178794,1.2926659969501961
3,0.08075079449918121,NA,0.004099023783754229,NA,NA
4,0.08196842570656113,1.2169392812530972,0.003959388875697344,1.2091788790567306,1.2246996834494643
4,0.10510341864677945,1.2169392812530972,0.003959388875697344,1.2091788790567306,1.2246996834494643
4,0.10632104985415936,NA,0.003959388875697344,NA,NA
5,0.10758126971112299,1.1493452716528405,0.004047568492740196,1.1414120374070698,1.1572785058986113
5,0.13152544699343188,1.1493452716528405,0.004047568492740196,1.1414120374070698,1.1572785058986113
5,0.1327856668503955,NA,0.004047568492740196,NA,NA
6,0.1340840870314943,1.070194942725137,0.004017352767192493,1.0623209313014397,1.0780689541488342
6,0.15875407047237136,1.070194942725137,0.004017352767192493,1.0623209313014397,1.0780689541488342
6,0.16005249065347016,NA,0.004017352767192493,NA,NA
7,0.16135348974993188,1.0152046519518123,0.004294258449678501,1.0067879053904423,1.023621398513182
7,0.18607247258270426,1.0152046519518123,0.004294258449678501,1.0067879053904423,1.023621398513182
7,0.18737347167916596,NA,0.004294258449678501,NA,NA
8,0.18860015555817103,0.961759669308365,0.003940362743497113,0.9540365583311107,0.9694827802856193
8,0.21190714925926712,0.961759669308365,0.003940362743497113,0.9540365583311107,0.9694827802856193
8,0.21313383313827217,NA,0.003940362743497113,NA,NA
9,0.21450031859733698,0.891823907711515,0.004067252048641497,0.8838520936961777,0.8997957217268523
9,0.24046354231956815,0.891823907711515,0.004067252048641497,0.8838520936961777,0.8997957217268523
9,0.24183002777863294,NA,0.004067252048641497,NA,NA
10,0.24309009702743165,0.8336749845845036,0.004297431541692778,0.8252520187627858,0.8420979504062215
10,0.267031412754607,0.8336749845845036,0.004297431541692778,0.8252520187627858,0.8420979504062215
10,0.2682914820034057,NA,0.004297431541692778,NA,NA
11,0.269640107705657,0.7870308365908902,0.004148761458927688,0.778899264131392,0.7951624090503885
11,0.29526399604843134,0.7870308365908902,0.004148761458927688,0.778899264131392,0.7951624090503885
11,0.2966126217506826,NA,0.004148761458927688,NA,NA
12,0.2979955487618489,0.7296182707162325,0.004244350600663567,0.721299343538932,0.7379371978935331
12,0.3242711619740086,0.7296182707162325,0.004244350600663567,0.721299343538932,0.7379371978935331
12,0.3256540889851749,NA,0.004244350600663567,NA,NA
13,0.32685956214221995,0.6896881579009656,0.004215062334019986,0.6814266357262865,0.6979496800756447
13,0.34976355212607557,0.6896881579009656,0.004215062334019986,0.6814266357262865,0.6979496800756447
13,0.3509690252831206,NA,0.004215062334019986,NA,NA
14,0.35222192388027906,0.6531421324478911,0.004248578149830056,0.6448149192742242,0.661469345621558
14,0.3760269972262904,0.6531421324478911,0.004248578149830056,0.6448149192742242,0.661469345621558
14,0.3772798958234489,NA,0.004248578149830056,NA,NA
15,0.37873821476075265,0.6058332823532503,0.004317594660071204,0.5973707968195108,0.6142957678869898
15,0.4064462745695242,0.6058332823532503,0.004317594660071204,0.5973707968195108,0.6142957678869898
15,0.40790459350682795,NA,0.004317594660071204,NA,NA
16,0.4091272174014843,0.5738177778435276,0.004119757659819852,0.5657430528302807,0.5818925028567745
16,0.43235707139995483,0.5738177778435276,0.004119757659819852,0.5657430528302807,0.5818925028567745
16,0.43357969529461116,NA,0.004119757659819852,NA,NA
17,0.4350066448595109,0.5332857991316916,0.00408675919067505,0.5252757511179685,0.5412958471454147
17,0.4621186865926055,0.5332857991316916,0.00408675919067505,0.5252757511179685,0.5412958471454147
17,0.4635456361575052,NA,0.00408675919067505,NA,NA
18,0.46492634357751483,0.5090728964093185,0.0042704269527461996,0.5007028595819359,0.5174429332367011
18,0.491159784557697,0.5090728964093185,0.0042704269527461996,0.5007028595819359,0.5174429332367011
18,0.49254049197770655,NA,0.0042704269527461996,NA,NA
19,0.4939416202583483,0.4560391926147399,0.004086261302582787,0.44803012046167767,0.46404826476780214
19,0.5205630575905421,0.4560391926147399,0.004086261302582787,0.44803012046167767,0.46404826476780214
19,0.5219641858711839,NA,0.004086261302582787,NA,NA
20,0.5233886538272989,0.4321243123489408,0.0037972832149297787,0.42468163724767843,0.4395669874502031
20,0.5504535449934858,0.4321243123489408,0.0037972832149297787,0.42468163724767843,0.4395669874502031
20,0.5518780129496008,NA,0.0037972832149297787,NA,NA
21,0.5532683196610638,0.41535604284157435,0.003935474474598886,0.40764251287136055,0.42306957281178814
21,0.5796841471788606,0.41535604284157435,0.003935474474598886,0.40764251287136055,0.42306957281178814
21,0.5810744538903236,NA,0.003935474474598886,NA,NA
22,0.5824745026184246,0.3801319030791478,0.004126873018983286,0.37204323196194056,0.38822057419635503
22,0.6090754284523427,0.3801319030791478,0.004126873018983286,0.37204323196194056,0.38822057419635503
22,0.6104754771804437,NA,0.004126873018983286,NA,NA
23,0.6118607108115351,0.3506891094376249,0.004029619305611869,0.3427910555986256,0.35858716327662415
23,0.6381801498022729,0.3506891094376249,0.004029619305611869,0.3427910555986256,0.35858716327662415
23,0.6395653834333643,NA,0.004029619305611869,NA,NA
24,0.6410323039329212,0.33621507748843993,0.004107796980568109,0.32816379540652646,0.3442663595703534
24,0.668903793424501,0.33621507748843993,0.004107796980568109,0.32816379540652646,0.3442663595703534
24,0.6703707139240578,NA,0.004107796980568109,NA,NA
25,0.6716569810606805,0.3144763911261331,0.00415856040582333,0.3063256127307194,0.32262716952154685
25,0.6960960566565129,0.3144763911261331,0.00415856040582333,0.3063256127307194,0.32262716952154685
25,0.6973823237931356,NA,0.00415856040582333,NA,NA
26,0.6986193499261779,0.29744861614196305,0.004349155858245492,0.28892427065980186,0.30597296162412424
26,0.7221228464539828,0.29744861614196305,0.004349155858245492,0.28892427065980186,0.30597296162412424
26,0.7233598725870252,NA,0.004349155858245492,NA,NA
27,0.7248503864643031,0.2340659694335775,0.005960216555835461,0.22238394498414,0.245747993883015
27,0.7531701501325837,0.2340659694335775,0.005960216555835461,0.22238394498414,0.245747993883015
27,0.7546606640098616,NA,0.005960216555835461,NA,NA
28,0.7559973742380472,-1.1531387449170705e-4,0.005004008800192871,-0.009923171122869735,0.00969254337388632
28,0.781394868573573,-1.1531387449170705e-4,0.005004008800192871,-0.009923171122869735,0.00969254337388632
28,0.7827315788017586,NA,0.005004008800192871,NA,NA
29,0.7840694204205647,-0.0044241224483146935,0.004200196662557231,-0.012656507906926864,0.003808263010297479
29,0.8094884111778811,-0.0044241224483146935,0.004200196662557231,-0.012656507906926864,0.003808263010297479
29,0.8108262527966872,NA,0.004200196662557231,NA,NA
30,0.8121833444706031,-2.682250651075968e-5,0.004123989033674345,-0.008109841012512477,0.008056195999490957
30,0.837968086275006,-2.682250651075968e-5,0.004123989033674345,-0.008109841012512477,0.008056195999490957
30,0.8393251779489219,NA,0.004123989033674345,NA,NA
31,0.8406603369928365,0.006416807684748949,0.004163050400550691,-0.001742771100330406,0.014576386469828303
31,0.8660283588272121,0.006416807684748949,0.004163050400550691,-0.001742771100330406,0.014576386469828303
31,0.8673635178711265,NA,0.004163050400550691,NA,NA
32,0.8686670308400478,0.010048436227892976,0.004202012724655617,0.0018124912875679671,0.018284381168217984
32,0.8934337772495513,0.010048436227892976,0.004202012724655617,0.0018124912875679671,0.018284381168217984
32,0.8947372902184725,NA,0.004202012724655617,NA,NA
33,0.8961392920796892,0.0050575045773494365,0.004155131141904447,-0.003086552460783279,0.013201561615482152
33,0.9227773274428078,0.0050575045773494365,0.004155131141904447,-0.003086552460783279,0.013201561615482152
33,0.9241793293040246,NA,0.004155131141904447,NA,NA
34,0.9255398598699165,0.0070109707323962045,0.0038969524307378833,-6.270560318500469e-4,0.014648997496642457
34,0.9513899406218636,0.0070109707323962045,0.0038969524307378833,-6.270560318500469e-4,0.014648997496642457
34,0.9527504711877555,NA,0.0038969524307378833,NA,NA
35,0.9539104806359059,0.009790715711769149,0.003997716989172438,0.0019551904129911715,0.017626241010547126
35,0.9759506601507643,0.009790715711769149,0.003997716989172438,0.0019551904129911715,0.017626241010547126
35,0.9771106695989147,NA,0.003997716989172438,NA,NA
36,0.9783589877853436,-0.001278546460296126,0.004123834030022584,-0.009361261159140391,0.006804168238548139
36,1.0020770333274933,-0.001278546460296126,0.004123834030022584,-0.009361261159140391,0.006804168238548139
36,1.0033253515139222,NA,0.004123834030022584,NA,NA
37,1.0047755649845516,-1.0679306137029165e-4,0.004111930966803287,-0.008166177756304734,0.007952591633564151
37,1.0323296209265078,-1.0679306137029165e-4,0.004111930966803287,-0.008166177756304734,0.007952591633564151
37,1.0337798343971372,NA,0.004111930966803287,NA,NA
38,1.0350787702315887,0.0014157412883185616,0.00415581300556546,-0.006729652202589739,0.0095611347792268625
38,1.059758551086166,0.0014157412883185616,0.00415581300556546,-0.006729652202589739,0.0095611347792268625
38,1.0610574869206175,NA,0.00415581300556546,NA,NA
39,1.0624517253101138,0.0018392272123318731,0.0039015873363764685,-0.005807883966966005,0.009486338391629752
39,1.0889422547105434,0.0018392272123318731,0.0039015873363764685,-0.005807883966966005,0.009486338391629752
39,1.0903364931000397,NA,0.0039015873363764685,NA,NA
40,1.09170975294962,4.5638295490346703e-4,0.00390911334908608,-0.007205479209305249,0.008118245119112183
40,1.117801690091645,4.5638295490346703e-4,0.00390911334908608,-0.007205479209305249,0.008118245119112183
40,1.1191749499412253,NA,0.00390911334908608,NA,NA
41,1.1205338258961481,0.0011497073641185684,0.00404843136807182,-0.0067852181173022,0.009084632845539337
41,1.1463524690396818,0.0011497073641185684,0.00404843136807182,-0.0067852181173022,0.009084632845539337
41,1.1477113449946046,NA,0.00404843136807182,NA,NA
42,1.149200969176101,0.011560474527203213,0.004270309722828754,0.0031906674704588554,0.019930281583947572
42,1.1775038286245294,0.011560474527203213,0.004270309722828754,0.0031906674704588554,0.019930281583947572
42,1.1789934528060257,NA,0.004270309722828754,NA,NA
43,1.1803289182218057,-0.004494235258243995,0.004038196419246113,-0.012409100239966376,0.0034206297234783863
43,1.2057027611216264,-0.004494235258243995,0.004038196419246113,-0.012409100239966376,0.0034206297234783863
43,1.2070382265374064,NA,0.004038196419246113,NA,NA
44,1.2084770074080942,0.008870976327372437,0.004069605335357063,8.945498700725935e-4,0.016847402784672283
44,1.2358138439511615,0.008870976327372437,0.004069605335357063,8.945498700725935e-4,0.016847402784672283
44,1.2372526248218492,NA,0.004069605335357063,NA,NA
45,1.2385213182673656,0.012821984127270203,0.004017716950522321,0.004947258904246455,0.02069670935029395
45,1.262626493732179,0.012821984127270203,0.004017716950522321,0.004947258904246455,0.02069670935029395
45,1.2638951871776953,NA,0.004017716950522321,NA,NA
46,1.2651110329066537,0.008381855591743426,0.003988884601964033,5.636417718939205e-4,0.01620006941159293
46,1.288212101756861,0.008381855591743426,0.003988884601964033,5.636417718939205e-4,0.01620006941159293
46,1.2894279474858195,NA,0.003988884601964033,NA,NA
47,1.2909371330502577,-0.002004360805015426,0.004180419417489455,-0.010197982863294756,0.006189261253263904
47,1.3196116587745823,-0.002004360805015426,0.004180419417489455,-0.010197982863294756,0.006189261253263904
47,1.3211208443390206,NA,0.004180419417489455,NA,NA
48,1.3225313176933144,-7.123292422870353e-4,0.004183727122928667,-0.008912434403227223,0.007487775918653152
48,1.3493303114248971,-7.123292422870353e-4,0.004183727122928667,-0.008912434403227223,0.007487775918653152
48,1.350740784779191,NA,0.004183727122928667,NA,NA
49,1.3523309352874224,0.008987684569781496,0.004081607491415565,9.877338866069885e-4,0.016987635252956004
49,1.382543794943818,0.008987684569781496,0.004081607491415565,9.877338866069885e-4,0.016987635252956004
49,1.3841339454520494,NA,0.004081607491415565,NA,NA
50,1.3856770255868989,4.588252853943153e-5,0.003899286059906769,-0.007596718148877836,0.007688483205956698
50,1.4149955481490386,4.588252853943153e-5,0.003899286059906769,-0.007596718148877836,0.007688483205956698
50,1.416538628283888,NA,0.003899286059906769,NA,NA
51,1.4177999984572776,-0.0033469019414971157,0.003985274192245235,-0.011158039358297775,0.004464235475303544
51,1.4417660317516752,-0.0033469019414971157,0.003985274192245235,-0.011158039358297775,0.004464235475303544
51,1.4430274019250646,NA,0.003985274192245235,NA,NA
52,1.4444109951312254,0.006876118433841061,0.004160290944285195,-0.0012780518169579203,0.015030288684640042
52,1.4706992660482814,0.006876118433841061,0.004160290944285195,-0.0012780518169579203,0.015030288684640042
52,1.4720828592544422,NA,0.004160290944285195,NA,NA
53,1.4734048789500125,0,0,0,0
53,1.4985232531658508,0,0,0,0
53,1.4985232531658508,NA,0,NA,NA
