estimator,inner,outer,att_log,att_pct,se,ci_lower,ci_upper,n_obs
parametric_ring_default,"[0, 0.1]","(0.1, 0.3]",-0.0595388956906034,-5.780111459782711,0.022508196060979885,-0.10365495997012397,-0.015422831411082825,9029
parametric_ring_inner_0.05,"[0, 0.05]","(cut, 0.3]",-0.06612290671810006,-6.398418541028795,0.03826638330689525,-0.14112501799961474,0.008879204563414636,7534
parametric_ring_inner_0.1,"[0, 0.1]","(cut, 0.3]",-0.05603602982108692,-5.449493110178305,0.02389965740128662,-0.1028793583276087,-0.00919270131456515,7534
parametric_ring_inner_0.15,"[0, 0.15]","(cut, 0.3]",-0.043056864417554394,-4.21430794575306,0.018048896774339233,-0.0784327020952593,-0.007681026739849495,7534
nonparametric_ring_avg_inside_0.1,"[0, 0.1] (avg of curve)","(0.1, 0.3] (data-driven)",-0.132006017399152,-12.36642781983216,NA,NA,NA,7607
