choice,tau_hat,se,ci_lower,ci_upper
"Correct: (0, 0.75]",0.7257774832948957,0.005115687259874221,0.7157507362655422,0.7358042303242491
"Too narrow: (0, 0.30]",0.9132977088704621,0.00597992770034967,0.9015770505777768,0.9250183671631474
"Too wide:   (0, 1.20]",0.45609884358129027,0.01023524808227966,0.43603775734002215,0.4761599298225584
