event_time,estimate,se,p_value
-5.0,-0.013936,0.017612,0.428784
-4.0,-0.001342,0.013821,0.922639
-3.0,-0.027464,0.012685,0.030383
-2.0,-0.013484,0.007678,0.079054
0.0,0.115279,0.029483,9.2e-05
1.0,0.192771,0.042218,5e-06
2.0,0.218727,0.06412,0.000647
3.0,0.313817,0.088043,0.000365
4.0,0.484351,0.046256,0.0
5.0,0.469656,0.071156,0.0
