event_time,estimate,se,p_value
-5.0,-0.028141,0.00344,0.0
-4.0,-0.051884,0.006628,0.0
-3.0,-0.029108,0.007971,0.00026
-2.0,-0.016166,0.007526,0.031722
0.0,-0.007178,0.006207,0.24745
1.0,-0.00485,0.000966,1e-06
2.0,-0.003426,0.000562,0.0
4.0,0.037109,0.001989,0.0
