,weights
Denmark,0.289
Belgium,0.269
New Zealand,0.146
Greece,0.114
United States,0.101
Switzerland,0.079
Portugal,0.002
France,0.0
Australia,0.0
Canada,0.0
Poland,0.0
Japan,0.0
Iceland,0.0
Spain,0.0
