,OLS1,OLS1,OLS2,OLS2,OLS3,OLS3,OLS4,OLS4
,coef,se_nw16,coef,se_nw16,coef,se_nw16,coef,se_nw16
const,6.227651840965132,0.156907812464784,6.406616921606258,0.13139459312611682,5.372410430993703,5.661578839858906,4.406829542086925,4.899970656674994
p_real_vat,-0.05746882696672895,0.022663504337020697,-0.05975844136369518,0.019038835287421493,-0.06122898839341151,0.014753902617596853,-0.06033585299076022,0.01055562703153829
real_CO2_tax_vat,-0.25981029546679857,0.039625700396356836,-0.23222800396830856,0.04579409564714606,-0.23350941385221913,0.048035942065660656,-0.18559897766513134,0.038252333275449725
d_CO2_tax,0.10868335895320269,0.03716955312198794,0.06041640985332175,0.056885870856510326,0.06330906578516726,0.055707927628595826,0.09991295435833947,0.05980993265209243
t,0.02074477890135465,0.003019655200039874,0.02532891816006292,0.0038938177397064675,0.02439194643656241,0.003478587253385316,0.03407171885959462,0.0028097695157003294
gdp_cap,,,-0.0010776981256152935,0.0006886627919322469,-0.0010476145492883584,0.0006492783177507281,-0.0036551322252243515,0.0009762660514028565
urban_pop,,,,,0.01267683740415837,0.06847808456545332,0.030058249662271108,0.0606242029559706
unempl,,,,,,,-0.024225823805973656,0.005214860124847998
