Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%,model
Intercept,1.5350077047995014,0.07974582139839016,19.248754077420397,0.0,1.376529642171844,1.6934857674271588,Sweden vs Denmark
treated,0.25867790382691846,0.1105714939371948,2.3394628634921846,0.02157543786838856,0.03894029458629014,0.4784155130675468,Sweden vs Denmark
post,0.692080092527097,0.08447843543138855,8.192387666663034,1.873612376357414e-12,0.5241969539975042,0.8599632310566898,Sweden vs Denmark
Sweden_post,-0.13988323075865983,0.11565408384946144,-1.20949668271754,0.2297114027042788,-0.3697214194190288,0.08995495790170913,Sweden vs Denmark
Intercept,1.8100473529521184,0.35198626506231184,5.142380634175277,0.00014957175677610124,1.0551118973168727,2.564982808587364,Sweden vs OECD
treated,-0.01636174432569889,0.3519862650623117,-0.04648404199181576,0.9635810262901319,-0.7712971999609441,0.7385737113095463,Sweden vs OECD
post,0.7659173301207777,0.08249681009111288,9.284205404728581,2.324999439640152e-07,0.5889792700417479,0.9428553901998075,Sweden vs OECD
Sweden_post,-0.21372046835234054,0.08249681009111276,-2.590651300532701,0.021362382393398383,-0.39065852843137006,-0.03678240827331103,Sweden vs OECD
