year,sweden,synth_sweden,gap
1960,1.0207549952863564,1.070926706358992,-0.05017171107263563
1961,1.0930853970971801,1.1214252965359308,-0.028339899438750704
1962,1.1254249768699378,1.1367496915397208,-0.01132471466978302
1963,1.1966869393324433,1.1769566656218546,0.019730273710588664
1964,1.310473318423871,1.2348029894974375,0.07567032892643355
1965,1.3589604043417944,1.3065758053051308,0.05238459903666359
1966,1.406286562009745,1.3547028011434457,0.05158376086629923
1967,1.3853705631124626,1.3893551629890404,-0.003984599876577732
1968,1.4812431269750173,1.4988191818510443,-0.017576054876027092
1969,1.5424057413135823,1.5636516904186164,-0.02124594910503408
1970,1.729496974996646,1.6632592084311757,0.06623776656547031
1971,1.710228301277769,1.7171954227901396,-0.0069671215123705554
1972,1.7408862021841107,1.8127000607752328,-0.0718138585911221
1973,1.8460452352368,1.8654633053799095,-0.019418070143109478
1974,1.8308924497745391,1.8272574622443878,0.0036349875301513457
1975,1.8810031740250184,1.895579568963114,-0.014576394938095705
1976,2.0055249841710685,1.973999318484217,0.031525665686851445
1977,2.0759761208210827,2.0287689773826245,0.04720714343845822
1978,2.126734270232282,2.0743159600847254,0.05241831014755638
1979,2.087131909389296,2.081618033231165,0.005513876158131037
1980,2.0046853805129903,2.0374122687164484,-0.03272688820345815
1981,1.9650254317557485,2.0055650552469553,-0.04053962349120677
1982,1.9759135537219665,2.0113658637157656,-0.035452309993799114
1983,2.013439015069336,2.033111042811653,-0.0196720277423168
1984,2.1111711542048592,2.0985556255174327,0.012615528687426547
1985,2.173552216628069,2.19829269369718,-0.024740477069110867
1986,2.309485653769032,2.289452705732762,0.020032948036269982
1987,2.339897430328214,2.319376847904431,0.02052058242378285
1988,2.4571833140539865,2.420262531100107,0.03692078295387935
1989,2.5056034618773846,2.4766236370286023,0.028979824848782254
1990,2.3098938114825205,2.407330766147095,-0.09743695466457458
1991,2.2570678425854744,2.422948688955487,-0.16588084637001277
1992,2.3315463528373743,2.475356150088766,-0.14380979725139165
1993,2.2171089931010406,2.4998306113961895,-0.28272161829514886
1994,2.286821904063949,2.567708585116246,-0.28088668105229697
1995,2.2918477175383223,2.5874034239521073,-0.29555570641378504
1996,2.2655813291666846,2.6254059499583864,-0.35982462079170174
1997,2.2970673278120817,2.645368283301078,-0.3483009554889964
1998,2.3296871056225,2.681757905828813,-0.3520708002063131
1999,2.384319307319115,2.7036041033074274,-0.3192847959883123
2000,2.3974006631343237,2.729508607567962,-0.33210794443363856
2001,2.385352452124335,2.7441975288856,-0.358845076761265
2002,2.4033726545267773,2.7563603695099097,-0.3529877149831324
2003,2.42235379336697,2.823735678025164,-0.401381884658194
2004,2.463993285840678,2.863789321759935,-0.3997960359192567
2005,2.490704985795561,2.853297500593559,-0.3625925147979978
