country,ratio
Sweden,25.410751179923718
Spain,15.695957231401403
Poland,5.145555048721449
Iceland,3.5513858638375586
Portugal,1.9693007831156035
France,1.8485440017807282
Japan,1.5981198361971607
New Zealand,1.5171721571720884
United States,1.2601825737989902
Switzerland,0.7196685295114509
Denmark,0.6995219084910481
Greece,0.5514149414887024
Canada,0.420930361728066
Australia,0.40758610029500725
Belgium,0.38799264088105195
