fips,trt_status,pre_rmspe,post_rmspe,ratio,state,abb
1,Control,0.004114448702863287,0.015225702829951789,3.7005450619316425,Alabama,AL
10,Control,0.02099054730163463,0.04541887318070607,2.1637774626852675,Delaware,DE
12,Control,0.005000806117266341,0.022667370031846684,4.532743221854331,Florida,FL
13,Control,0.005560710923751254,0.014285463629757092,2.568999508451362,Georgia,GA
15,Control,0.019297257937400118,0.09329544074928112,4.83464754691726,Hawaii,HI
16,Control,0.007338247978243002,0.022002564466877574,2.9983402757868713,Idaho,ID
17,Control,0.005624803884681953,0.01824667613957898,3.243966636644917,Illinois,IL
18,Control,0.006486114998458755,0.009150469558697557,1.410778187076842,Indiana,IN
19,Control,0.007692907036394731,0.032978645505154634,4.286889903795071,Iowa,IA
2,Control,0.027759593536169167,0.08445129721841077,3.042238248495085,Alaska,AK
20,Treatment,0.006520603343334198,0.04145101080810745,6.356928741951691,Kansas,KS
21,Control,0.00641887327892815,0.020529345148007947,3.1982786161866747,Kentucky,KY
22,Control,0.02311542907825201,0.06318583925863999,2.7334919479425954,Louisiana,LA
23,Control,0.005967713652996783,0.0068143021215009815,1.1418614427116607,Maine,ME
24,Control,0.005802118815822079,0.022577402071599174,3.8912340109326546,Maryland,MD
25,Control,0.007906157084537051,0.014629761099640879,1.8504263124563924,Massachusetts,MA
26,Control,0.011401048481123475,0.008853648255810476,0.7765643897111141,Michigan,MI
27,Control,0.006926465667497156,0.008685690133220044,1.2539858782492999,Minnesota,MN
28,Control,0.010837488461758188,0.03921145454898757,3.6181311461000822,Mississippi,MS
29,Control,0.007766541824989831,0.016856837914275908,2.170443202924228,Missouri,MO
30,Control,0.011809521078245747,0.03531204729538121,2.9901337286597793,Montana,MT
31,Control,0.008661756155295469,0.02155217137493427,2.4881988119416283,Nebraska,NE
32,Control,0.008586763280989217,0.027748089516186528,3.2314958044342266,Nevada,NV
33,Control,0.00995325718197496,0.007585918641614685,0.7621543885505689,New Hampshire,NH
34,Control,0.006511741312020585,0.022167287106211322,3.4042026616276684,New Jersey,NJ
35,Control,0.020192611755786998,0.03135053808481293,1.5525746973185965,New Mexico,NM
36,Control,0.010107198882327363,0.045461384604019626,4.497921247350713,New York,NY
37,Control,0.006722298129371185,0.006626054832819838,0.9856829770564863,North Carolina,NC
38,Control,0.018571669508623243,0.20568651652558342,11.075284127260533,North Dakota,ND
39,Control,0.006106831095873971,0.01027531186248243,1.682593099623282,Ohio,OH
4,Control,0.006696917045637579,0.02889181479213742,4.314196307830595,Arizona,AZ
40,Control,0.013142696687780953,0.09111766034862216,6.932950102495799,Oklahoma,OK
41,Control,0.012305303860929366,0.09057024304929545,7.36026058948983,Oregon,OR
42,Control,0.004853068464805123,0.013931765247247069,2.8707126940988883,Pennsylvania,PA
44,Control,0.0074930364605171815,0.022944303663684582,3.062083547115281,Rhode Island,RI
45,Control,0.005988965133992786,0.010302612336907756,1.720265873386226,South Carolina,SC
46,Control,0.013004458643886321,0.07844348350146105,6.032045289200796,South Dakota,SD
47,Control,0.007154454386509791,0.030375512656335292,4.245678428478121,Tennessee,TN
48,Control,0.0058085848991362024,0.028972849227724966,4.987935913966504,Texas,TX
49,Control,0.007464837001414526,0.03447558434647826,4.6183974733735536,Utah,UT
5,Control,0.007094747941393856,0.015248116122635668,2.149211818177712,Arkansas,AR
50,Control,0.0066709298385280984,0.020131367015548646,3.017775258147598,Vermont,VT
51,Control,0.0044242832018174735,0.023285903946716084,5.263203751773926,Virginia,VA
53,Control,0.01020870651814589,0.014314150406751111,1.402151230550886,Washington,WA
54,Control,0.010469165622553967,0.04820914827674444,4.604870150576885,West Virginia,WV
55,Control,0.003839171459885747,0.009750826939030899,2.53982585589472,Wisconsin,WI
56,Control,0.023447101834016066,0.10668945945647616,4.550219477517499,Wyoming,WY
6,Control,0.0068280282162594096,0.05965187578333371,8.736325318821358,California,CA
8,Control,0.00822262959812699,0.01718912738965684,2.0904659737527647,Colorado,CO
9,Control,0.012326710656688292,0.011928559473017485,0.9677001274095148,Connecticut,CT
