Time,Estimate,lower_bound,upper_bound,p_val
1990,-0.005492555658021203,NA,NA,NA
1990.25,-0.001328411871437396,NA,NA,NA
1990.5,0.00288634838601709,NA,NA,NA
1990.75,0.007154139868921661,NA,NA,NA
1991,0.011477706840608448,NA,NA,NA
1991.25,0.010021735483906724,NA,NA,NA
1991.5,0.008642106132144889,NA,NA,NA
1991.75,0.0073341857373598884,NA,NA,NA
1992,0.006093688429471555,NA,NA,NA
1992.25,0.0037895342179865565,NA,NA,NA
1992.5,0.0015707098659092367,NA,NA,NA
1992.75,-5.662660796268426e-4,NA,NA,NA
1993,-0.002624699340438852,NA,NA,NA
1993.25,-0.0012099323790835115,NA,NA,NA
1993.5,1.9689027810265713e-4,NA,NA,NA
1993.75,0.0015951731351346865,NA,NA,NA
1994,0.0029844076650711315,NA,NA,NA
1994.25,-8.835686017700795e-4,NA,NA,NA
1994.5,-0.004643857618644276,NA,NA,NA
1994.75,-0.008300573212562057,NA,NA,NA
1995,-0.011857621416599073,NA,NA,NA
1995.25,-0.009612321863649242,NA,NA,NA
1995.5,-0.007357430279782307,NA,NA,NA
1995.75,-0.005095619851367417,NA,NA,NA
1996,-0.002829262503382779,NA,NA,NA
1996.25,-6.821484993935201e-4,NA,NA,NA
1996.5,0.0017067805931016977,NA,NA,NA
1996.75,0.004315237266190763,NA,NA,NA
1997,0.00712371779916765,NA,NA,NA
1997.25,0.007449721058508274,NA,NA,NA
1997.5,0.007837980080918072,NA,NA,NA
1997.75,0.008285944156785519,NA,NA,NA
1998,0.008791277105331119,NA,NA,NA
1998.25,0.0060024973837062845,NA,NA,NA
1998.5,0.0033403979276744877,NA,NA,NA
1998.75,7.98113384865573e-4,NA,NA,NA
1999,-0.0016307464511502445,NA,NA,NA
1999.25,-0.002759232084557084,NA,NA,NA
1999.5,-0.0037578537116083055,NA,NA,NA
1999.75,-0.004630206914830737,NA,NA,NA
2000,-0.005379590547546442,NA,NA,NA
2000.25,-0.0013573365694110606,NA,NA,NA
2000.5,0.0026282830504609223,NA,NA,NA
2000.75,0.0065780101387353795,NA,NA,NA
2001,0.010492566095139821,NA,NA,NA
2001.25,0.007592979834194935,NA,NA,NA
2001.5,0.004784530117861507,NA,NA,NA
2001.75,0.0020634533793426613,NA,NA,NA
2002,-5.73792876028989e-4,NA,NA,NA
2002.25,-0.0012835682608862697,NA,NA,NA
2002.5,-0.0019426403597240238,NA,NA,NA
2002.75,-0.0025533205227112887,NA,NA,NA
2003,-0.0031177872761389835,NA,NA,NA
2003.25,-4.984573713233686e-4,NA,NA,NA
2003.5,0.0021670762665859655,NA,NA,NA
2003.75,0.004872254472518378,NA,NA,NA
2004,0.0076112642068970615,NA,NA,NA
2004.25,9.100523971650176e-4,NA,NA,NA
2004.5,-0.0054629916406394585,NA,NA,NA
2004.75,-0.011529457145041277,NA,NA,NA
2005,-0.017308948569137783,NA,NA,NA
2005.25,-0.02259288841439755,NA,NA,NA
2005.5,-0.01782157144091201,NA,NA,NA
2005.75,-0.04298863271960229,NA,NA,NA
2006,-0.008428476073696345,NA,NA,NA
2006.25,-0.004443004604345546,NA,NA,NA
2006.5,-0.008197150155718091,NA,NA,NA
2006.75,-0.00865804176964069,NA,NA,NA
2007,0.01371078022889094,NA,NA,NA
2007.25,0.006839804617927214,NA,NA,NA
2007.5,0.00210864110615816,NA,NA,NA
2007.75,-2.088494977314781e-5,NA,NA,NA
2008,0.02074222597841313,NA,NA,NA
2008.25,0.013850225944635142,NA,NA,NA
2008.5,0.0038183611039315224,NA,NA,NA
2008.75,-6.012514870192831e-4,NA,NA,NA
2009,-0.0038518893401953136,NA,NA,NA
2009.25,0.0026768151795373285,NA,NA,NA
2009.5,0.002767554956156104,NA,NA,NA
2009.75,0.008182266087603196,NA,NA,NA
2010,-0.01759502584823025,NA,NA,NA
2010.25,-0.011502626803549632,NA,NA,NA
2010.5,-0.0024527287053555114,NA,NA,NA
2010.75,0.005254755653988141,NA,NA,NA
2011,0.0028639825974163813,NA,NA,NA
2011.25,0.0031404523153675257,NA,NA,NA
2011.5,0.010775773635314678,NA,NA,NA
2011.75,-0.004703083640199779,NA,NA,NA
2012,0.009279181362717992,NA,NA,NA
2012.25,-0.018072749416012,-0.04461946053659612,0.005945703502611727,0.099
2012.5,-0.04105312811887174,-0.070128097441416265,-0.014506416998287613,0.023
2012.75,-0.033100225749143064,-0.059646936869727184,-0.006553514628558937,0.035
2013,-0.01940746591061071,-0.04595417703119483,0.007139245209973416,0.114
2013.25,-0.029154531437859177,-0.053172984356482905,-7.956211531466584e-5,0.038
2013.5,-0.04626635070028762,-0.08039783642675291,-0.017191381377743106,0.024
2013.75,-0.031812091821674215,-0.055830544740297944,-0.010321897105010872,0.024
2014,-0.04476663892494592,-0.07384160824749045,-0.018219927804361796,0.018
2014.25,-0.04267268978764527,-0.07427591731215018,-0.006012945859219576,0.023
2014.5,-0.02940448251995953,-0.06100771004446444,0.00219874500454538,0.045
2014.75,-0.018496157445438755,-0.052627643171904055,0.015635328281026553,0.125
2015,-0.029305643015048233,-0.06596538694347392,0.007354100913377459,0.075
2015.25,-0.01908377363611713,-0.05574351756454282,0.01251945388838778,0.115
2015.5,-0.021623425081646275,-0.05828316901007197,0.007451544240898236,0.098
2015.75,-0.018566757030985315,-0.05522650095941101,0.013036470493519595,0.198
2016,-0.028169622767237,-0.07241414130154387,0.011018379363149089,0.107
