method,estimate,lower,upper,p_val
Conformal,-0.040062914201317024,NA,NA,0.066
Jackknife+,-0.040062914201317024,-0.057571442381338045,-0.020611737432169264,NA
Jackknife (SE),-0.040062914201317024,-0.08746703728460828,0.007341208881974232,NA
Permutation (RMSPE),-0.040062914201317024,NA,NA,0.1
