"method","loss_2018Q4","published","diff"
"SC",3.056,3.06,-0.004
"DSC",2.985,2.98,0.005
"SDID (i)",2.758,2.76,-0.002
"SDID (ii)",2.787,2.79,-0.003
"SDID (iii)",2.787,2.79,-0.003
"MASC",2.726,2.73,-0.004
"ASCM",3.045,3.04,0.005
