"method","RMSE","MAB","MedAB","published_RMSE"
"SC",0.00891540826470886,0.00719135614785805,0.00548879226127222,0.0089
"DSC",0.00873068676546685,0.00700675234318113,0.00524559444599949,0.0087
"SDID (i)",0.0066793516494381,0.00374489932790082,0.00162050011091343,0.0067
"MASC",0.00795674129335273,0.00622814851816492,0.00451749110410155,0.008
"ASCM",0.00861476782783628,0.00684917462228928,0.00512852887557969,0.0086
"SDID (ii)",0.013409293043258,0.0110641898175484,0.0103241194356153,0.0134
"SDID (iii)",0.0134425669288221,0.011129605215992,0.0106640644716958,0.0134
