"k","last_pre","horizon","SC","DSC","SDID (i)","SDID (ii)","SDID (iii)","MASC","ASCM"
61,"2010Q1",1,-0.00335859442566006,-0.00299964926808168,0.00144966306673592,0.00157613583506082,0.00157007590431179,-0.00323243260062311,-0.00320947044114844
62,"2010Q2",1,-0.00056655730072358,0.000699743195045666,0.00290971920148072,0.00294746685196534,0.0029310623428126,0.00109031666152226,0.00111378586326516
63,"2010Q3",1,0.000776541842534229,0.00151675302963395,0.00231194709300751,0.00198855932245789,0.00226028111597727,0.00129752029167934,0.00132020895646373
64,"2010Q4",1,0.0058308818640771,0.00598286779127337,0.00549655419381885,0.00533004313168544,0.00538430143603713,0.00596183451817256,0.0059844002166578
65,"2011Q1",1,0.00550183565931334,0.00532441216067453,0.000773302568935319,0.00156483009845513,0.00225078010136503,0.00560379274194256,0.00562687329703609
66,"2011Q2",1,0.00223664356807496,0.00223032228492332,-0.000625980205812136,-0.00151177750239573,-0.00151177750239573,0.00146836992178562,0.00149176873264162
67,"2011Q3",1,0.00257592735231421,0.00221684056870528,0.000505997118750878,0.000505997118750878,0.000505997118750878,0.00137295733958459,0.00152821036187833
68,"2011Q4",1,0.0111969515478664,0.0113582744342186,0.00972683013372572,0.00969467041327277,0.00969467041327277,0.00974797657465098,0.0100493373468701
69,"2012Q1",1,0.00937307422094508,0.0093189124995782,0.00164283249373498,0.00164283249373498,0.00164283249373498,0.00768400648075201,0.00890416341903622
70,"2012Q2",1,0.020234389615122,0.0199356147177788,0.0143284540720366,0.0137786636620127,0.0137786636620127,0.0194335620371182,0.0198861923524944
71,"2012Q3",1,0.0117757739008652,0.0113536821679635,-0.00310459529139012,-0.00310459529139012,-0.00310459529139012,0.00926411556575768,0.0112542847084214
72,"2012Q4",1,0.0130621000437104,0.0124399728655866,0.00360439053989098,0.00360439053989098,0.00360439053989098,0.0111248293639722,0.0123222312187509
73,"2013Q1",1,0.00799942940311882,0.00769053161157443,-0.000347383983707565,-0.00110875387778015,-0.000625906236623733,0.0064611962384844,0.00766782447481618
74,"2013Q2",1,0.00518515936206676,0.0048879859358713,-0.000373302322372079,-0.000375630813841232,-0.000375630813841232,0.00382779931086447,0.00479592866137152
75,"2013Q3",1,0.00518337715058315,0.00480668355848036,-0.000138186505661797,0.00112176755887983,0.00112176755887983,0.00377922499240357,0.00485742750287022
76,"2013Q4",1,0.00389981163162384,0.00364506655276605,0.000860440628813797,0.000860440628813797,0.000860440628813797,0.00285814412700497,0.00346423150582548
77,"2014Q1",1,0.0054757488632311,0.00516677673132446,0.0022623820333646,0.0022623820333646,0.00228213323369142,0.00430936237625001,0.00499554545486652
78,"2014Q2",1,0.00582286916131952,0.00538134562340545,0.00159816772809188,0.00112847107804298,0.00112847107804298,0.00472561983195308,0.00526151229629285
79,"2014Q3",1,0.00516817159786032,0.00458953420066012,0.000234498252262638,6.96949857548765e-05,6.64811658918074e-05,0.00382078100342881,0.00439939601081646
80,"2014Q4",1,-0.0186032844461509,-0.0185900776660769,-0.0226033591244223,-0.0226495407416408,-0.0226508038041521,-0.017499128385348,-0.0188506996242621
61,"2010Q1",4,0.00517335309033834,0.00557076943867472,0.0100200817734923,0.0101465545418172,0.0101404946110682,0.00576065547640342,0.00578704584719719
62,"2010Q2",4,0.00717797086668748,0.00752969262529689,0.00973966863173195,0.00977741628221657,0.00976101177306382,0.00826748245063308,0.0082933398360146
63,"2010Q3",4,0.00465452829697421,0.00539545127896718,0.00619064534234074,0.00586725757179113,0.0061389793653105,0.00502988544463007,0.00505367805498058
64,"2010Q4",4,0.00597930057352913,0.00605455776203982,0.0055682441645853,0.0054017331024519,0.00545599140680358,0.00521643265799476,0.00523955433309176
65,"2011Q1",4,0.0141807238087179,0.0142612663916328,0.00971015679989362,0.0105016843294134,0.0111876343323233,0.0125661085939903,0.0125895432118346
66,"2011Q2",4,0.0147514645063158,0.0151249618697675,0.012268659379032,0.0113828620824484,0.0113828620824484,0.0132027317848392,0.0132268413176916
67,"2011Q3",4,0.0283480423679967,0.0280926520699326,0.0263818086199782,0.0263818086199782,0.0263818086199782,0.0265598565302411,0.0267582688778823
68,"2011Q4",4,0.0258871765721633,0.0258995868589372,0.0242681425584443,0.0242359828379913,0.0242359828379913,0.0242969658410586,0.024626537334607
69,"2012Q1",4,0.0255203062095025,0.0251971107428621,0.0175210307370188,0.0175210307370188,0.0175210307370188,0.0233996537984021,0.0246701972131109
70,"2012Q2",4,0.0207209457887441,0.0205307987814288,0.0149236381356866,0.0143738477256627,0.0143738477256627,0.0201694092956374,0.0203789082481565
