"horizon","method","RMSE","MAB","MedAB"
1,"SC",0.00891540826470886,0.00719135614785805,0.00548879226127222
1,"DSC",0.00873068676546685,0.00700675234318113,0.00524559444599949
1,"SDID (i)",0.0066793516494381,0.00374489932790082,0.00162050011091343
1,"SDID (ii)",0.00663498479944775,0.00384133219895955,0.0016094841643979
1,"SDID (iii)",0.00664833471899383,0.00386755312209444,0.00194680629755
1,"MASC",0.00795674129335273,0.00622814851816492,0.00451749110410155
1,"ASCM",0.00861476782783628,0.00684917462228928,0.00512852887557969
