"m","phi","cv"
1,0.038084122829111,5.59919586471996e-05
2,0.00531180065237546,5.65194145481908e-05
3,0.0619749830327267,5.53237030917721e-05
4,0.087903981449941,5.38696251373267e-05
5,0.0921096384227282,5.31528560222613e-05
6,0.0884760440719888,5.34374777649093e-05
7,0.046399675779444,5.57632405965015e-05
8,0.112665042681621,5.39339980771926e-05
9,0.123822088047028,5.45013426025926e-05
10,0.157693107401351,5.27918543975667e-05
