Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
n_lag1,0.6262288051792934,0.05153722973463581,12.150998577217543,0.0,0.5243305425660306,0.7281270677925561
w,-0.5035374148890998,0.1449911936528148,-3.472882746898638,0.0006867229016669363,-0.7902107732267094,-0.2168640565514901
w_lag1,0.23075641472819336,0.1077291408397524,2.1420055235699373,0.03393601628328824,0.017756757181353083,0.44375607227503366
k,0.4078424228374876,0.056625592713356876,7.202439803182591,3.40483197192043e-11,0.29588356228857626,0.519801283386399
k_lag1,-0.16477792348531317,0.05474315346103025,-3.0100188437740045,0.0031031249437625252,-0.2730148670768181,-0.056540979893808255
