estimator,rho1,se,ci_lo,ci_hi,hansen_p,ar1_p,ar2_p,n_instruments
Pooled OLS,0.9617211303689052,0.008357578708808317,0.9453402760996409,0.9781019846381694,,,,
Fixed effects,0.6262288051792934,0.05153722973463581,0.5252158348994072,0.7272417754591796,,,,
Anderson-Hsiao IV,1.2327171534363732,0.4781559499738855,0.29553149148755764,2.1699028153851887,,,,1.0
Diff GMM (one-step),0.7074701063611717,0.08417881606872638,0.542479626866468,0.8724605858558754,0.21132232001628293,3.7735483083732455e-08,0.891264043728775,91.0
Diff GMM (two-step),0.6787867226325481,0.08907807494392518,0.5041936957424548,0.8533797495226415,0.21132232001628293,8.125184309410432e-06,0.8659952465738769,91.0
"Sys GMM (one-step, collapsed)",0.9024603413398498,0.06343043748410254,0.7781366838710088,1.0267839988086906,0.462104055053554,1.3384464900939097e-06,0.9491926772273694,32.0
"Sys GMM (two-step, collapsed)",0.9269913142872843,0.07850845986704344,0.7731147329478791,1.0808678956266895,0.462104055053554,7.225145957317295e-06,0.9943956897278525,32.0
