estimator,rho1,se,ci_lo,ci_hi,hansen_p,ar1_p,ar2_p,n_instruments,lag_window,collapsed
sys GMM lags 2:3,0.9555172120713369,0.03218761839642227,0.8924294800143493,1.0186049441283245,0.03476876687755326,1.0555145518239449e-07,0.763071990255974,68,2:3,False
"sys GMM lags 2:3, collapsed",0.9210584972290903,0.10006962571718128,0.724922030823415,1.1171949636347656,0.0957105219587735,0.04068272811574136,0.9343112650621106,17,2:3,True
sys GMM lags 2:5,0.935396757807009,0.03351422922678529,0.8697088685225098,1.0010846470915082,0.18590497305306897,4.1128970812965403e-07,0.7343434720510086,95,2:5,False
"sys GMM lags 2:5, collapsed",0.9374108502397451,0.09822675394604961,0.7448864125054879,1.1299352879740023,0.2545638156565384,0.0003789431935034444,0.9083627174496138,23,2:5,True
sys GMM lags 2:99,0.9296378096932507,0.02739241844536017,0.8759486695403448,0.9833269498461567,0.23487751590379735,3.0907771211462024e-08,0.8051606987142397,113,2:99,False
"sys GMM lags 2:99, collapsed",0.9269913142872843,0.07850845986704344,0.7731147329478791,1.0808678956266895,0.462104055053554,7.225145957317295e-06,0.9943956897278525,32,2:99,True
