year,conflict01,conflict25
1994,5.9412899,2.4081562
1995,4.3768678,1.4238002
1996,3.5155563,1.2831781
1997,4.4120235,1.9511338
1998,6.9876051,2.9998205
1999,5.9412899,2.267534
2000,5.958868,1.8280894
2001,4.9217792,1.7402004
2002,6.011601,1.8280894
2003,5.6248899,1.3886448
2004,4.4471788,1.054667
2005,3.1464231,.80857801
2006,3.0585339,.79100019
2007,3.5682898,.5273335
2008,3.7089121,.82615578
2009,3.4276676,.87888908
2010,2.425734,.59764457
