
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="OLS",="OLS",="OLS",="OLS",="2SLS-Rain",="2SLS-Drought",="2SLS-Both"

="Ln Lights(t-1)",="0.0008",="",="",="",="-0.3033***",="-0.2931***",="-0.2963***"
="",="(0.0012)",="",="",="",="(0.1108)",="(0.0848)",="(0.0756)"

="Ln Rain(t-2)",="",="-0.0109***",="",="-0.0072*",="",="",=""
="",="",="(0.0034)",="",="(0.0037)",="",="",=""

="(Non) Drought(t-2)",="",="",="-0.0016***",="-0.0013***",="",="",=""
="",="",="",="(0.0004)",="(0.0004)",="",="",=""

="Observations",="96591",="96591",="96591",="96591",="96591",="96591",="96591"
="N Regions",="5689",="5689",="5689",="5689",="5689",="5689",="5689"
="R-squared",="0.004",="0.004",="0.004",="0.004",="-0.544",="-0.508",="-0.519"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
