m_iter,burn,att,lo95,hi95,ci_width,att_scm,rho_hat,rho_lo,rho_hi,rho_ess,acc_rho
5000,2500,-16.66833992059382,-22.727132041822923,-10.908139091135718,11.818992950687205,-15.500105851847959,0.3182757768792548,0.21567256183865022,0.45229187875515,2.75379233169094,0.4028
20000,10000,-16.92579475290289,-23.085597799365118,-10.565135361111604,12.520462438253514,-15.676994656599303,0.3486324920206658,0.25791216981349596,0.4250009823543333,5.8160091119073964,0.4349
50000,25000,-17.005003276579096,-23.277588163173053,-10.507148893314302,12.770439269858752,-15.762839322881167,0.34537245939120037,0.2713668565687983,0.4567854787417985,13.296483020319714,0.43504
100000,50000,-16.896168134663828,-23.0265544784646,-10.61003145177776,12.416523026686841,-15.671670193793053,0.336051424723746,0.25063057698629404,0.4287600094040163,24.215072882143787,0.44348
250000,125000,-16.845816754323046,-23.00814584303115,-10.376238390141978,12.631907452889173,-15.68577590454879,0.32235458827081837,0.22713739405308261,0.4155775527031603,74.59793939002779,0.443888
500000,250000,-16.867982533346094,-23.044981655196505,-10.331599592461474,12.71338206273503,-15.68163446071527,0.31613590654572216,0.23115585282641316,0.40320672870619223,136.78062783987494,0.44412
