statistic,observed,p_value
yc_mean,131.49985385917083,0.9195
log_yc_var,6.984196436665641,0.7045
spatial_quadratic,17844.720044028756,0.82
corr_y0_wyc,0.944948159423647,0.6105
ac1,0.8937911731215253,0.996
ac2,0.8104589617640895,0.9985
pve_pc1,0.6248040412889925,0.0285
avg_skewness,-0.39636640005742285,0.495
avg_kurtosis,-0.942718510513288,0.732
