state,mean,lo95,hi95,weight,inclusion_prob
Alabama,0.04424780824403952,-0.11284478943359483,0.3330205819869558,0.04424780824403945,0.41865
Arkansas,-0.0076072297948038695,-0.12856235843442296,0.09212933519119801,-0.007607229794803838,0.18275
Colorado,0.005873189543322325,-0.09852142776655193,0.12795233344858495,0.00587318954332234,0.219675
Connecticut,0.18920175606039516,-0.0225503558027624,0.5159517872505589,0.1892017560603953,0.518925
Delaware,-0.0015909100681953377,-0.09562933139583651,0.10008439972585455,-0.0015909100681953455,0.138275
Georgia,-0.0017101800392917766,-0.22275686803665873,0.18774061586122176,-0.0017101800392917543,0.35085
Idaho,0.018843830692564966,-0.07114660959808214,0.16794105982644353,0.018843830692564935,0.2525
Illinois,0.07044933103919276,-0.03142825842356444,0.26348962612499566,0.07044933103919257,0.2629
Indiana,-0.051907044848796616,-0.13655256380364017,0.01808723257689789,-0.051907044848796456,0.165475
Iowa,0.010453665965861315,-0.044525413269882554,0.09105562847431696,0.010453665965861328,0.10005
Kansas,0.034122896117754854,-0.04098827503131887,0.16496658384702362,0.03412289611775466,0.201575
Kentucky,0.015676543962467527,-0.05204371968464431,0.1271330738639606,0.015676543962467555,0.1485
Louisiana,0.05596324546127429,-0.07878569978938262,0.3725677182991602,0.05596324546127428,0.4053
Maine,0.04775521406043222,-0.050662136106068095,0.2127644604286154,0.047755214060432295,0.252425
Minnesota,-0.004124678143043115,-0.0775962016783166,0.06026480734837905,-0.004124678143043117,0.115975
Mississippi,-0.027282887559033263,-0.2847668981721693,0.10160275256747814,-0.02728288755903327,0.37375
Missouri,0.022178267846411238,-0.1380080041374794,0.30041582118188204,0.02217826784641102,0.3705
Montana,0.13239429778083664,-0.02217736669026066,0.3577316890672743,0.1323942977808374,0.488675
Nebraska,0.01906795876595218,-0.09709491265417104,0.22429083878114559,0.019067958765952023,0.27165
Nevada,0.1921949511266631,0.12111657723028962,0.24754907470440432,0.19219495112666304,0.9053
New Hampshire,-0.0011831545502728367,-0.04113550713583458,0.04815259909633859,-0.0011831545502728393,0.070425
New Mexico,0.005913678851512621,-0.11003811794416875,0.14953128798720505,0.005913678851512678,0.203525
North Carolina,0.011885318787179664,-0.053059637668130585,0.107657650561571,0.01188531878717972,0.143425
North Dakota,-0.019303989502146488,-0.17520199328960653,0.06677145573099949,-0.019303989502146603,0.24325
Ohio,0.027519356916119654,-0.17104514648001423,0.37129656873922207,0.027519356916119682,0.40775
Oklahoma,0.00823891585472742,-0.09676720802870448,0.12945462597107532,0.008238915854727424,0.19925
Pennsylvania,0.0028349688438760383,-0.12238366488410886,0.13647551089267354,0.002834968843876069,0.254
Rhode Island,0.015484364317263433,-0.0671403285526207,0.1304391611095056,0.015484364317263561,0.12855
South Carolina,0.0030340691080661623,-0.11829544362202232,0.13497511119453082,0.0030340691080661467,0.23305
South Dakota,0.015233568399277052,-0.09047668471578411,0.16089512009641257,0.015233568399276936,0.25285
Tennessee,-0.3406247998399326,-0.6217032272172167,-0.0008893110498476426,-0.3406247998399337,0.87485
Texas,0.008268901712498162,-0.11453257568676942,0.17073036766131472,0.008268901712498153,0.2336
Utah,0.03818358760739452,-0.059388750618344074,0.2165493947324173,0.03818358760739458,0.2308
Vermont,-0.0012265061847520102,-0.06863904324041951,0.057593537160463275,-0.0012265061847520106,0.103625
Virginia,0.017388023289454067,-0.10472299281657138,0.19042218483934345,0.017388023289454123,0.260875
West Virginia,0.16448479505446367,-0.00819924337680713,0.33578489758164953,0.16448479505446362,0.5138
Wisconsin,0.027130397224575574,-0.07006585211255555,0.1825051192234581,0.02713039722457544,0.216
Wyoming,0.010163703374223452,-0.037200726409209225,0.0759498867166501,0.010163703374223329,0.08595
