variable,overall_sd,between_sd,within_sd,between_pct,within_pct
lwage,0.5982000231742859,0.5569999814033508,0.2184000015258789,86.69999694824219,13.300000190734863
union,0.369,0.3576,0.0911,93.9,6.1
age,6.257599830627441,6.17549991607666,1.0147000551223755,97.4000015258789,2.5999999046325684
schooling,2.182499885559082,2.1826999187469482,0.0,100.0,0.0
