spec,att,se,ci_l,ci_u,pval
Static TWFE (biased foil),7.961265977738445,3.773880037075629,.5644611050702126,15.35807085040668,.034895368
SDID (no covariates),8.034102000000001,3.740402,.7030487922984143,15.36515520770159,.03171974
SDID + lngdp (optimized),8.051498,3.046601,2.080160040000001,14.02283596,.0082228314
SDID + lngdp (projected),8.059265999999999,3.119126,1.945779039999999,14.17275296,.0097712269
