method,att,se,ci_l,ci_u,tstat,pval
bootstrap,10.33066,4.729109,1.06177668103577,19.59954331896423,2.1844833,.028926754
placebo,10.33066,2.3404,5.743560290582458,14.91775970941754,4.4140573,.000010145111
jackknife,10.33066,6.005597,-1.440093825661794,22.10141382566179,1.720172,.08540117
