metric,mgwr_cs,pmgwr,mgwfer
RMSE_beta_1,2.157265696653552,2.300274005525401,0.17926988430298954
Corr_beta_1,-0.38569402950605614,-0.45748628841035804,0.81788846457783
RMSE_beta_2,1.7977057483824255,1.9489248025756503,0.10500304517241184
Corr_beta_2,-0.20847816828022453,0.2163249847198099,0.9407055892837265
RMSE_beta_3,1.9838434014774038,1.7485202406743812,0.07237491425460071
Corr_beta_3,,,
RMSE_beta_4,2.376839421633861,1.8611970616260622,0.13992122384446481
Corr_beta_4,,,
R_squared,0.9886887426649611,0.988638423806824,0.8899632445486649
AICc,-277.5139813279104,-998.1797900023495,496.092169589799
RMSE_alpha,14.181982462289923,25.61836571773002,0.5397605319330476
Corr_alpha,0.8386792552763863,0.9780159680145731,0.999609293193018
