intercept_mgwr_cs,beta1_mgwr_cs,beta2_mgwr_cs,beta3_mgwr_cs,beta4_mgwr_cs,unit_id
3.1450914793718994,3.9158396624719587,3.899592701384604,2.817287470315413,3.2686586218870652,0
3.6080414381586365,3.9444415876728116,3.8298685943255157,2.7673190044414637,3.2019534063409876,1
4.372583679530461,3.919753953522228,3.73070684775269,2.7056273476445174,3.1632483465751813,2
5.486668281572463,3.884412987307465,3.6005458649105044,2.636019961343719,3.0381578502288207,3
7.290073678398013,3.758253128182403,3.4179270317079347,2.55502864386721,2.7684848696511084,4
10.048752402434253,3.5713885214921186,3.145078272788573,2.4598480937348333,2.2473903213271367,5
13.254420373967392,3.291850040007862,2.7603305517381274,2.3613163914894058,1.7247303724871128,6
16.212358406517335,2.9792578689397318,2.5238778363469674,2.3464400480374588,1.3496891302113736,7
17.991326633200778,2.6992036993782214,2.74971802500482,2.593576044780547,1.2998135663839456,8
18.46301929738727,2.8239609368100753,3.1888577020499915,2.932756418899467,1.6035133870946712,9
17.909002095581553,3.459413152942505,3.4983702161650294,3.208569621866907,2.3416937360605856,10
17.111519685523778,4.388265321165374,3.677937218959123,3.439535161741981,2.9415893908752047,11
16.73014492033517,4.943703298761173,3.787262014095828,3.602060152220249,3.340832297148841,12
16.57822711896779,5.305419401301193,3.866948868918948,3.734146110238898,3.5631980730841217,13
16.424993675861153,5.488913327897135,3.918046004402983,3.838889145378916,3.7544441098853634,14
3.032648238138279,3.845744746443621,3.936186825710765,2.8423245047526198,3.2037124132280153,15
3.6106185971945237,3.820608857612038,3.854813435497452,2.7819595411654747,3.1797060299700455,16
4.308887645283452,3.8354614780751435,3.7702894412271397,2.7142331724449593,3.0800637788957705,17
5.504301280503341,3.792221528189193,3.6292427026312764,2.6293598710474746,2.945842432158442,18
7.540800070125776,3.634169452473489,3.4219367316840748,2.533228265628615,2.610402651892846,19
10.31223243697698,3.4386807422719325,3.136582061107274,2.421545736312074,2.09683512079788,20
13.518646914345071,3.2018872792190116,2.7054756153485546,2.289346520186961,1.6127387170666152,21
16.61823502117663,2.8540990510214255,2.4498517438170384,2.2549154318485427,1.2569496882804638,22
18.731873076380328,2.534308604909223,2.645768160040501,2.471679562748391,1.1600037428446817,23
19.16762314045622,2.6474811590410448,3.150687020867774,2.8704090431835496,1.4363230119740944,24
18.603751739821483,3.2441067756790924,3.474013518186019,3.2381952843849917,2.1289113133241,25
