beta1_mgwfer,beta2_mgwfer,beta3_mgwfer,beta4_mgwfer,unit_id
1.5605130847794761,1.103833933569149,1.5425990988855574,-0.01923005618117527,0
1.5702733932489028,1.0982288688731907,1.5371954589441355,0.009358903414389656,1
1.5760779031636922,1.0974323087196516,1.5269834410849958,0.03739581095004251,2
1.571609575359088,1.097103997938178,1.519558653341278,0.08060913403562152,3
1.5482155371352626,1.1050258892623597,1.5062880343661709,0.13822204568640337,4
1.5132037686539708,1.1236568127293598,1.4974804940300535,0.21084971746032125,5
1.4395644967183394,1.165058974886437,1.4831712456893793,0.25095947958373743,6
1.3660992224842572,1.2395656941820734,1.4701144255383258,0.2534352065071772,7
1.3286439893923636,1.33177483839788,1.4585177843661665,0.22696457350731822,8
1.3182028352948747,1.4267839617016957,1.4593729806795792,0.1752011661867027,9
1.3324550965263933,1.5096142252417266,1.4586373102938863,0.12106491446091784,10
1.3468096212581575,1.5753644425611544,1.4667797670904807,0.0767288922758315,11
1.3445391442488475,1.6250439195276611,1.4685530342300437,0.03478158605951443,12
1.3453039165713008,1.6663169659359849,1.477315067987856,0.003627822529315315,13
1.3375615473534352,1.6949212105790428,1.4800900909776555,-0.031217644054755883,14
1.5425142301579813,1.1154056250525037,1.5555750204172796,-0.010951815728256585,15
1.558527528188236,1.1121599062736165,1.5494116738556165,0.01815596823998839,16
1.5754650341400736,1.1041661761867898,1.5437876641420132,0.049989468825855456,17
1.5891531461094683,1.1035538412802006,1.533199456796491,0.10064901585881107,18
1.594429009944842,1.103219663274057,1.5232756839544175,0.1651444569207274,19
1.5887965179102082,1.1347781812821558,1.5111380121022144,0.24551335683984035,20
1.5427726654189007,1.178313754045875,1.5012964478331527,0.28137598410765846,21
1.4864545806459804,1.2600638097765013,1.4862514688693438,0.27865685709350574,22
1.4571428685811452,1.35813188021572,1.4756885257448118,0.2463751771878168,23
1.4498656503965612,1.4609227642223275,1.4687044101191347,0.19790462270961043,24
1.4334040770726222,1.5508374924408284,1.4727174707890918,0.14552745821271376,25
1.4218105787667887,1.6175487358040694,1.4767768683696725,0.09757888305193785,26
1.4060374494913639,1.6691634276018708,1.4851751762541452,0.04785038343551725,27
1.389996571301042,1.6975264273046007,1.4876992489767942,0.01954399400365077,28
1.3738121559364904,1.729218284312607,1.494889176118208,-0.01637064285473423,29
1.5179515920890971,1.1292808676650838,1.5682560534033527,-0.007422276746129376,30
1.5340241352135042,1.124896739016739,1.5647171885761118,0.021322337122012994,31
1.5652611079685135,1.122034445987463,1.5591991019657125,0.07124271631596853,32
1.6050592661597165,1.1144611900725392,1.5525944283610642,0.13300745275789908,33
1.6582995645350695,1.118960520835706,1.5443584910283725,0.21178465371414065,34
1.6851922227660905,1.1415945682358266,1.5350669075833405,0.2730299533326458,35
1.6404411046681708,1.1942927160583257,1.5232885598317767,0.30185823763138836,36
1.5898848000159826,1.2826985665912667,1.5078490628495576,0.28774164838961364,37
1.5507943480965931,1.3882885298778318,1.4941272356673558,0.2663100812651486,38
1.5566391370151254,1.5031563317883494,1.4893304548014392,0.22963088258548903,39
1.563012069780435,1.6015992177142968,1.4908473072958432,0.18538724468663695,40
1.5330635851036856,1.6746996665637306,1.4943899039085704,0.1323902990131335,41
1.4846630181950948,1.7094578278140615,1.498549451917442,0.08163007483197347,42
1.4416966490202654,1.7446838356745076,1.5053913785205422,0.025802913607425048,43
1.4121396482277764,1.7592513452265273,1.5074973371734428,-0.012775459557349928,44
1.4918840951575278,1.143937279221571,1.5825318009745482,-0.0006407236184948232,45
1.5085851642800778,1.142651026131169,1.580508498009955,0.030051256343524835,46
1.546143816178785,1.1398288197004158,1.5778271121131964,0.08501505241069877,47
1.6347567811409418,1.139804750414375,1.5739808279945955,0.1642582498432923,48
1.7339224043515198,1.1402345039296171,1.5694005080123252,0.2603128636546833,49
1.7753296520206632,1.166646670741307,1.5641868939362995,0.31594766718876816,50
1.7339028494805155,1.2317243666895172,1.55669485987419,0.316652559060864,51
1.6833123965293952,1.3231442016958381,1.5395493319482483,0.28591509394275233,52
1.6582604062588537,1.4352047894185456,1.5202134021624103,0.2784027004716009,53
1.6777205457969995,1.5619815728246342,1.5127400168564205,0.2651981820858919,54
1.7006553526432888,1.6731504167970195,1.5109054931055501,0.24507423589563682,55
1.6746244132898631,1.7255344155577717,1.5150757924476912,0.17993396829372363,56
1.593580888271217,1.7690052924962318,1.5183859450438755,0.11040210833990034,57
1.5230660517421797,1.7796422072403963,1.5219449470310369,0.04397938902532108,58
1.4743475854463028,1.791057284324891,1.5272940849739314,-0.008527126408737507,59
1.4481127567119352,1.1591919375165887,1.598457329363194,0.005337837296614206,60
1.4915659034642426,1.1605456353143297,1.597823392035864,0.03394779367413374,61
1.540989669131095,1.1632125985466217,1.5975013373768372,0.08728466513888881,62
1.6688530818263694,1.165726132127465,1.5991209414530132,0.17675268222969165,63
1.7855376802522693,1.172707536839249,1.597567692062673,0.24792080448046083,64
1.819830749072979,1.204250886514655,1.602666225274455,0.2868245123963423,65
1.787100706864976,1.2718335329393562,1.5985487652115402,0.2942343976104764,66
1.7228230153119937,1.3686274883364675,1.578802295132344,0.27567458412103524,67
1.693251810295098,1.4939783808042535,1.551735303168006,0.2836262091351461,68
1.723750533545996,1.6387482737515977,1.5389657396072949,0.2881804212462529,69
1.7941647933806941,1.7448085866361531,1.5383119500990812,0.2788732196471788,70
1.7995176814981688,1.7922735122080073,1.5391849336244838,0.23147088285093095,71
1.7107932892217874,1.8029320240001614,1.5426760073892452,0.1328706602661488,72
1.6168415316658356,1.8139263495180327,1.5454574872062927,0.0470571659977368,73
1.5154940007247546,1.8162609463363957,1.5483663569618364,-0.015154496303014518,74
1.4172500468096285,1.174822182772095,1.611516596977647,0.012243990514803677,75
1.4922361823606527,1.1784016859054085,1.617018370550607,0.0297803864987622,76
1.556424410623045,1.1825948065033471,1.6180664027411826,0.05997410452891433,77
1.7051853426596546,1.1911131057838356,1.6223822054255883,0.12287387165042334,78
1.813481267623825,1.2027524991076055,1.630583899786896,0.1890238777774228,79
1.8298052842741044,1.2408861100461464,1.6302375589574136,0.22247943019206332,80
1.7977068972429764,1.3136465548148915,1.6318560868823486,0.24074524088726515,81
1.7330200583019788,1.4130356002225766,1.6092731563619946,0.24841100300192673,82
1.693039357380477,1.537641017869934,1.5786909799933,0.26856975158211216,83
1.7306380185011327,1.6654318842749873,1.56300996052721,0.2777369995878759,84
1.8279576058261793,1.7760009270958108,1.5654155580513216,0.2620099291719407,85
1.8795237992134404,1.808648306220605,1.5695643999124471,0.2053912393867067,86
1.8132665149427825,1.8209604119661273,1.5717524689801883,0.10368468356520198,87
1.6960126661761894,1.8261516119271821,1.5739600648485166,0.01897018199852743,88
1.5623549953687494,1.8369094884480581,1.573403912072471,-0.04365553959546468,89
1.4389319590474774,1.1960862294010164,1.624637580669282,-0.0026808698392896146,90
1.5132910209563544,1.1987074508321882,1.6272714048274761,0.00759708383729377,91
1.579699004381055,1.2018598686089994,1.6352535914983768,0.022032601352905596,92
1.7277247009307117,1.2199871731887304,1.640859167743324,0.05329131331539696,93
1.8233125475080876,1.238280996281345,1.6466466373602833,0.09426621670343392,94
1.8234886980503966,1.2863806323242568,1.6450798818544616,0.12351786889086495,95
1.7909786956564535,1.3569010156489594,1.629519211534358,0.15935821380317386,96
1.7421829613824344,1.4430016993716397,1.6070603910483712,0.2018394036583698,97
1.6989474783958383,1.5471078944728507,1.58374460468774,0.23874682017943857,98
1.7338127659190736,1.6529272466976588,1.5760338311822488,0.24818295218749598,99
1.8360757843655324,1.748196104035691,1.586234337748771,0.21565918757677796,100
1.9121936680985756,1.7933436176131086,1.5983617097775964,0.14098661276495367,101
1.8664725561272413,1.8235401183008382,1.6027650233246427,0.05071918011816599,102
1.750293328508618,1.8443255380845127,1.6010669128370676,-0.027718413542447126,103
1.6375706505892076,1.863055659794559,1.6010412095188,-0.0798441474651521,104
1.4781381460826164,1.227952551498667,1.6267895618002093,-0.03767348845895883,105
1.5417412670829167,1.2330097011614245,1.6317516850755356,-0.027792001420910307,106
1.6093132074033811,1.2382245086490178,1.637845858552322,-0.014382698505365965,107
1.7274756160287026,1.2625952693440872,1.637744998066685,0.0009143067444854555,108
1.8124798585255257,1.293528840044755,1.6367428124490562,0.036346116142721506,109
1.8253184008993795,1.3456017702360432,1.6234058022561475,0.060177530068845235,110
1.7901515993884658,1.4042080588228611,1.598673940810943,0.10756918279546994,111
1.7482571912909224,1.468929462185801,1.577084028132768,0.16657662310474725,112
1.727083265021043,1.5446405198010147,1.564997469656208,0.20378181843003831,113
1.7527096463780545,1.631228649747114,1.5748437190471007,0.20697853481613818,114
1.8231247664710308,1.7211627325862915,1.5951118878355641,0.16019161940715704,115
1.8768643740877993,1.791326470675869,1.6109507041365692,0.07334109436440815,116
1.8596581743592882,1.837915284299654,1.621531683859058,-0.02030396115786722,117
1.7453063982079104,1.872970956629108,1.6234473510349556,-0.0883327756243228,118
1.64733054009057,1.8977022730540785,1.6214231632282716,-0.12642690737801338,119
1.511381110998369,1.268885699227251,1.6246382916550106,-0.07342529820567333,120
1.557830665999944,1.2790395395318164,1.6237409131523473,-0.06593464921302788,121
