unit_id,coord_i,coord_j,alpha_true,alpha_hat,se_alpha,t_stat,p_value,significant_5pct
0,1,1,2.0681731724173913,2.0813139344393514,0.2758145974304848,7.546061571175243,2.544631172440859e-13,1
1,1,2,4.27892435387168,4.534779256975656,0.27577056141970874,16.44402953538595,0.0,1
2,1,3,6.642082744805096,6.1590991154496875,0.2756149851765115,22.346749802102483,0.0,1
3,1,4,9.168155161948565,9.002474292831646,0.27675496055385457,32.52868268310525,0.0,1
4,1,5,11.868372752582685,11.31531342924398,0.2785802610989117,40.61778600037425,0.0,1
5,1,6,14.75474092923811,14.48967830160992,0.28082436993271626,51.5969404830555,0.0,1
6,1,7,17.840092746849468,17.602446417470713,0.27971315392211726,62.930349076010565,0.0,1
7,1,8,21.138145959682596,20.6764648241466,0.28314726558201836,73.0237135846799,0.0,1
8,1,9,24.663564011715266,24.076054952627644,0.28587697953976987,84.21823607968508,0.0,1
9,1,10,28.43202123164027,27.94884711902278,0.2984100072743547,93.65921530013213,0.0,1
10,1,11,32.46027252235366,31.83506455038079,0.29356520054185486,108.4429097577658,0.0,1
11,1,12,36.76622785477404,35.956078612906964,0.2972778181970775,120.95109830586225,0.0,1
12,1,13,41.36903189719904,40.88816977564994,0.30516940958271904,133.98515215387872,0.0,1
13,1,14,46.289149134238635,45.58803933722395,0.3164816847660149,144.04637466123404,0.0,1
14,1,15,51.548454853771354,50.29909367324648,0.3226348137932548,155.90101105914212,0.0,1
15,2,1,2.0681731724173913,2.184777614486667,0.275809164799461,7.921337987717719,1.887379141862766e-14,1
16,2,2,4.27892435387168,4.287765155006466,0.27527985508741815,15.576022276111845,0.0,1
17,2,3,6.642082744805096,6.29592157846767,0.2749998192762106,22.894275330937685,0.0,1
18,2,4,9.168155161948565,9.168395454009826,0.27569973955351146,33.25500223126001,0.0,1
19,2,5,11.868372752582685,11.980219391926681,0.2785709904438718,43.005983404221446,0.0,1
20,2,6,14.75474092923811,14.141092877289529,0.2783616069890379,50.80116123142807,0.0,1
21,2,7,17.840092746849468,17.43953307782106,0.281804465623324,61.88522612388882,0.0,1
22,2,8,21.138145959682596,20.925208923226954,0.28433437550446344,73.59366550773764,0.0,1
23,2,9,24.663564011715266,24.6953318472954,0.28582721477090384,86.3995119117303,0.0,1
24,2,10,28.43202123164027,27.96784454568664,0.287593084753482,97.24797301597155,0.0,1
25,2,11,32.46027252235366,32.516862315776834,0.2910377707993446,111.72729308112903,0.0,1
26,2,12,36.76622785477404,36.207446774832434,0.3044026566066703,118.94589613131197,0.0,1
27,2,13,41.36903189719904,40.82497398787474,0.3005769083623658,135.82205702461175,0.0,1
28,2,14,46.289149134238635,45.48555046230199,0.3133375929165521,145.16467698280834,0.0,1
29,2,15,51.548454853771354,50.21794752814266,0.3284346874039066,152.90086417207507,0.0,1
30,3,1,2.0681731724173913,2.1297198360044423,0.27498248358464394,7.744929088724595,6.483702463810914e-14,1
31,3,2,4.27892435387168,4.557701703855914,0.27604978621669,16.510433738493344,0.0,1
32,3,3,6.642082744805096,6.780264866377699,0.27635105204677035,24.53497034355487,0.0,1
33,3,4,9.168155161948565,9.014030259845223,0.2769984993194428,32.541801785900574,0.0,1
34,3,5,11.868372752582685,11.513918492300181,0.27742759332492356,41.502427189407456,0.0,1
35,3,6,14.75474092923811,14.512250944737948,0.2801217867937737,51.80693408692949,0.0,1
36,3,7,17.840092746849468,17.40853515468666,0.28102883529880596,61.9457257337202,0.0,1
37,3,8,21.138145959682596,20.625703068925127,0.2807118330075526,73.47642900529308,0.0,1
38,3,9,24.663564011715266,24.04238000116185,0.28387341743447486,84.6940168559863,0.0,1
39,3,10,28.43202123164027,28.352828493397638,0.29030764095276645,97.66476831386844,0.0,1
40,3,11,32.46027252235366,31.78124497837651,0.2927340293908598,108.56696450531909,0.0,1
41,3,12,36.76622785477404,35.84798829117046,0.3005638239257787,119.26913832458683,0.0,1
42,3,13,41.36903189719904,40.988574737362086,0.30065274738153375,136.33194805084167,0.0,1
43,3,14,46.289149134238635,45.8305114194212,0.31255723570049604,146.63078049275333,0.0,1
44,3,15,51.548454853771354,50.61528832777424,0.31920832311666175,158.56506444938705,0.0,1
45,4,1,2.0681731724173913,2.151039307623663,0.2748666338428373,7.825756358822292,3.708144902248023e-14,1
46,4,2,4.27892435387168,4.233922878081891,0.27847767358110254,15.2038144517493,0.0,1
47,4,3,6.642082744805096,7.052120952569733,0.2752661374217814,25.61928255550008,0.0,1
48,4,4,9.168155161948565,8.806330780527846,0.2751173362128599,32.009363356565565,0.0,1
49,4,5,11.868372752582685,11.82167910020822,0.27675399723518307,42.71547734922962,0.0,1
50,4,6,14.75474092923811,14.961415516043791,0.2779331218802116,53.83099148036095,0.0,1
51,4,7,17.840092746849468,17.644588250397003,0.28234356007479394,62.4933263777041,0.0,1
52,4,8,21.138145959682596,21.033994310642253,0.28079506941835863,74.90870247192107,0.0,1
53,4,9,24.663564011715266,24.14945046245232,0.2800789314416821,86.22373106804254,0.0,1
54,4,10,28.43202123164027,28.011886848773976,0.2925868237718917,95.73871607633559,0.0,1
55,4,11,32.46027252235366,31.740277573037616,0.2944339751641595,107.80100209339312,0.0,1
56,4,12,36.76622785477404,35.70839871389698,0.292231932989131,122.19198069372209,0.0,1
57,4,13,41.36903189719904,39.72674658347693,0.3025144436695274,131.32181756873464,0.0,1
