intercept,beta1_pooled,beta2_pooled,beta3_pooled,beta4_pooled,unit_id
-16.851453368977737,1.4078017077123282,1.2024691110629402,1.5148686971542842,0.2914471994850324,0
-16.365596715221873,1.4675741260067159,1.2084956895319812,1.512273933223515,0.29157324537897567,1
-15.112065445303807,1.5383926625418114,1.2191507829929829,1.509492543121091,0.29206047515471095,2
-13.650682180976533,1.5894103452250044,1.2457906222745105,1.5065404939205365,0.2930670874396237,3
-11.200825210970445,1.6252364363835883,1.269990591045336,1.5034597019008615,0.2948191800230051,4
-8.336460021128673,1.6080245431690294,1.303385583811297,1.5003362812997834,0.2976398333995377,5
-5.2295275511441766,1.522740578119626,1.3466205224772796,1.497329665062954,0.3019878501702854,6
-1.8782006790129977,1.4459024946950267,1.3929596940866993,1.4957491368740794,0.30583684358888696,7
1.7175751544604683,1.3561005310458423,1.4409733729012764,1.4940898030482284,0.3108640954480216,8
5.574966277077794,1.2574150368178443,1.490481581845198,1.4927929797030288,0.31462884484984927,9
9.674740774344242,1.1879079578320733,1.538975698763888,1.490822856959744,0.31876698493848354,10
13.629838795082593,1.1501182726898196,1.582583601535844,1.4885118646303706,0.3229738023331298,11
16.2675973522546,1.1057460804396617,1.624728338675575,1.4860634000130089,0.32707820797167864,12
18.537180240069997,1.1398232915778612,1.658974150302762,1.4835993043337385,0.3309903232723712,13
19.46902024793547,1.1944808820726356,1.6880128357306825,1.4811905083596688,0.33466851594921027,14
-17.452977331546798,1.3596995031703045,1.2121074348857601,1.5219612623787977,0.28558894832053333,15
-16.61833056873384,1.4241647029331823,1.2187704702330238,1.5198153421023797,0.2849811156985783,16
-15.544919456524463,1.5110401430949352,1.2247787428630044,1.5173948194446576,0.28480614347929456,17
-13.855589927561226,1.5905446519305182,1.2477454171717413,1.5148350905188401,0.28510152985944703,18
-11.288763379936098,1.6378568842003987,1.266822021096671,1.5121884842670648,0.2861221699362728,19
-8.41861087546175,1.6490360923253016,1.3055181193560002,1.5095613461227189,0.28825275616431156,20
-5.323774147818835,1.6061912133220007,1.3535549765974892,1.5071526016393364,0.29207147695834024,21
-1.9878930076384183,1.5548318465033188,1.4031174954272336,1.5054564447890018,0.2964322214019324,22
1.6057680577078564,1.4874870067607493,1.4584883835374676,1.503690517309855,0.3018197617157514,23
