method,b,ll,ul,row
0. Naive,-275.2518712134562,-316.8332860268519,-233.6704564000605,7
1. RA,-239.6392114643378,-286.3342926279215,-192.9441303007542,6
2. IPW,-230.9059733473374,-278.5533256008638,-183.2586210938109,5
3. IPWRA,-231.8723317608707,-281.174375154876,-182.5702883668654,4
4. AIPW,-232.4758698410155,-281.1506368709333,-183.8011028110976,3
5. NNM,-210.0557846366107,-267.5387293790999,-152.5728398941214,2
6. PSM,-229.4492248512166,-280.1886480309333,-178.7098016714999,1
